prm,benchmark,annotator,n_cards,gm_preferred,gm_rate
skywork_prm,gsm8k,skywork_prm_gsm8k_annotator1,100,79,0.79
skywork_prm,gsm8k,skywork_prm_gsm8k_annotator2,100,80,0.8
skywork_prm,gsm8k,skywork_prm_gsm8k_annotator3,100,81,0.81
skywork_prm,math500,skywork_prm_math500_annotator1,71,56,0.7887323943661971
skywork_prm,math500,skywork_prm_math500_annotator2,71,59,0.8309859154929577
skywork_prm,math500,skywork_prm_math500_annotator3,71,54,0.7605633802816901
internlm2_7b_reward,gsm8k,internlm2_7b_reward_gsm8k_annotator1,98,88,0.8979591836734694
internlm2_7b_reward,gsm8k,internlm2_7b_reward_gsm8k_annotator2,98,86,0.8775510204081632
internlm2_7b_reward,gsm8k,internlm2_7b_reward_gsm8k_annotator3,98,89,0.9081632653061225
internlm2_7b_reward,math500,internlm2_7b_reward_math500_annotator1,96,86,0.8958333333333334
internlm2_7b_reward,math500,internlm2_7b_reward_math500_annotator2,96,86,0.8958333333333334
internlm2_7b_reward,math500,internlm2_7b_reward_math500_annotator3,96,86,0.8958333333333334
