prm,benchmark,subset,bin,n_cards,dimension,mean_delta,ci_lo,ci_hi,mean_step_delta,bin_scheme
skywork_prm,gsm8k,full_sample,small_delta,60,completeness,-1.250000,-1.383333,-1.116667,-1.000000,small_medium_large
skywork_prm,gsm8k,full_sample,small_delta,60,auditability,-1.041667,-1.183542,-0.908333,-1.000000,small_medium_large
skywork_prm,gsm8k,full_sample,small_delta,60,coherence,-1.166667,-1.300000,-1.025000,-1.000000,small_medium_large
skywork_prm,gsm8k,full_sample,small_delta,60,supervision,-1.233333,-1.358542,-1.108125,-1.000000,small_medium_large
skywork_prm,gsm8k,full_sample,medium_delta,16,completeness,-0.843750,-1.000000,-0.686719,-2.687500,small_medium_large
skywork_prm,gsm8k,full_sample,medium_delta,16,auditability,-0.562500,-0.687500,-0.437500,-2.687500,small_medium_large
skywork_prm,gsm8k,full_sample,medium_delta,16,coherence,-0.968750,-1.093750,-0.875000,-2.687500,small_medium_large
skywork_prm,gsm8k,full_sample,medium_delta,16,supervision,-0.718750,-0.937500,-0.500000,-2.687500,small_medium_large
skywork_prm,gsm8k,full_sample,large_delta,24,completeness,-0.958333,-1.125000,-0.812500,-6.208333,small_medium_large
skywork_prm,gsm8k,full_sample,large_delta,24,auditability,-0.541667,-0.625000,-0.458333,-6.208333,small_medium_large
skywork_prm,gsm8k,full_sample,large_delta,24,coherence,-0.937500,-1.104167,-0.791667,-6.208333,small_medium_large
skywork_prm,gsm8k,full_sample,large_delta,24,supervision,-0.145833,-0.354167,0.020833,-6.208333,small_medium_large
skywork_prm,gsm8k,both_correct,small_delta,60,completeness,-1.250000,-1.383333,-1.116667,-1.000000,small_medium_large
skywork_prm,gsm8k,both_correct,small_delta,60,auditability,-1.041667,-1.183542,-0.908333,-1.000000,small_medium_large
skywork_prm,gsm8k,both_correct,small_delta,60,coherence,-1.166667,-1.300000,-1.025000,-1.000000,small_medium_large
skywork_prm,gsm8k,both_correct,small_delta,60,supervision,-1.233333,-1.358542,-1.108125,-1.000000,small_medium_large
skywork_prm,gsm8k,both_correct,medium_delta,16,completeness,-0.843750,-1.000000,-0.686719,-2.687500,small_medium_large
skywork_prm,gsm8k,both_correct,medium_delta,16,auditability,-0.562500,-0.687500,-0.437500,-2.687500,small_medium_large
skywork_prm,gsm8k,both_correct,medium_delta,16,coherence,-0.968750,-1.093750,-0.875000,-2.687500,small_medium_large
skywork_prm,gsm8k,both_correct,medium_delta,16,supervision,-0.718750,-0.937500,-0.500000,-2.687500,small_medium_large
skywork_prm,gsm8k,both_correct,large_delta,24,completeness,-0.958333,-1.125000,-0.812500,-6.208333,small_medium_large
skywork_prm,gsm8k,both_correct,large_delta,24,auditability,-0.541667,-0.625000,-0.458333,-6.208333,small_medium_large
skywork_prm,gsm8k,both_correct,large_delta,24,coherence,-0.937500,-1.104167,-0.791667,-6.208333,small_medium_large
