prm,benchmark,dimension,annotator,mean_delta,sign,n_cards
internlm2_7b_reward,gsm8k,auditability,1,-0.6,neg,100
internlm2_7b_reward,gsm8k,auditability,2,-1.07,neg,100
internlm2_7b_reward,gsm8k,coherence,1,-0.97,neg,100
internlm2_7b_reward,gsm8k,coherence,2,-0.87,neg,100
internlm2_7b_reward,gsm8k,completeness,1,-1.01,neg,100
internlm2_7b_reward,gsm8k,completeness,2,-0.99,neg,100
internlm2_7b_reward,gsm8k,supervision,1,-0.82,neg,100
internlm2_7b_reward,gsm8k,supervision,2,-0.81,neg,100
internlm2_7b_reward,math500,auditability,1,-0.68,neg,100
internlm2_7b_reward,math500,auditability,2,-1.09,neg,100
internlm2_7b_reward,math500,coherence,1,-0.96,neg,100
internlm2_7b_reward,math500,coherence,2,-1.0,neg,100
internlm2_7b_reward,math500,completeness,1,-0.96,neg,100
internlm2_7b_reward,math500,completeness,2,-1.06,neg,100
internlm2_7b_reward,math500,supervision,1,-0.79,neg,100
internlm2_7b_reward,math500,supervision,2,-0.81,neg,100
skywork_prm,gsm8k,auditability,1,-0.46,neg,100
skywork_prm,gsm8k,auditability,2,-1.23,neg,100
skywork_prm,gsm8k,coherence,1,-1.01,neg,100
skywork_prm,gsm8k,coherence,2,-1.15,neg,100
skywork_prm,gsm8k,completeness,1,-0.99,neg,100
skywork_prm,gsm8k,completeness,2,-1.24,neg,100
skywork_prm,gsm8k,supervision,1,-0.77,neg,100
skywork_prm,gsm8k,supervision,2,-1.01,neg,100
skywork_prm,math500,auditability,1,-0.4383561643835616,neg,73
skywork_prm,math500,auditability,2,-1.0547945205479452,neg,73
skywork_prm,math500,coherence,1,-0.9041095890410958,neg,73
skywork_prm,math500,coherence,2,-1.0684931506849316,neg,73
skywork_prm,math500,completeness,1,-0.6712328767123288,neg,73
skywork_prm,math500,completeness,2,-1.1095890410958904,neg,73
skywork_prm,math500,supervision,1,-0.5753424657534246,neg,73
skywork_prm,math500,supervision,2,-0.726027397260274,neg,73
