annotator,scope,prm,benchmark,n,product_rate,native_rate,no_preference_rate
annotator_1,pooled,all,all,420,0.04523809523809524,0.06904761904761905,0.8857142857142857
annotator_1,cell,internlm2_7b_reward,gsm8k,70,0.02857142857142857,0.08571428571428572,0.8857142857142857
annotator_1,cell,internlm2_7b_reward,math500,70,0.14285714285714285,0.24285714285714285,0.6142857142857143
annotator_1,cell,qwen_prm,gsm8k,70,0.0,0.0,1.0
annotator_1,cell,qwen_prm,math500,70,0.05714285714285714,0.0,0.9428571428571428
annotator_1,cell,skywork_prm,gsm8k,70,0.014285714285714285,0.0,0.9857142857142858
annotator_1,cell,skywork_prm,math500,70,0.02857142857142857,0.08571428571428572,0.8857142857142857
annotator_2,pooled,all,all,420,0.13095238095238096,0.15476190476190477,0.7142857142857143
annotator_2,cell,internlm2_7b_reward,gsm8k,70,0.1,0.18571428571428572,0.7142857142857143
annotator_2,cell,internlm2_7b_reward,math500,70,0.15714285714285714,0.2571428571428571,0.5857142857142857
annotator_2,cell,qwen_prm,gsm8k,70,0.11428571428571428,0.07142857142857142,0.8142857142857143
annotator_2,cell,qwen_prm,math500,70,0.17142857142857143,0.12857142857142856,0.7
annotator_2,cell,skywork_prm,gsm8k,70,0.05714285714285714,0.1,0.8428571428571429
annotator_2,cell,skywork_prm,math500,70,0.18571428571428572,0.18571428571428572,0.6285714285714286
annotator_3,pooled,all,all,420,0.047619047619047616,0.07142857142857142,0.8809523809523809
annotator_3,cell,internlm2_7b_reward,gsm8k,70,0.02857142857142857,0.07142857142857142,0.9
annotator_3,cell,internlm2_7b_reward,math500,70,0.11428571428571428,0.22857142857142856,0.6571428571428571
annotator_3,cell,qwen_prm,gsm8k,70,0.0,0.0,1.0
annotator_3,cell,qwen_prm,math500,70,0.04285714285714286,0.0,0.9571428571428572
annotator_3,cell,skywork_prm,gsm8k,70,0.02857142857142857,0.02857142857142857,0.9428571428571428
annotator_3,cell,skywork_prm,math500,70,0.07142857142857142,0.1,0.8285714285714286
