annotator,source_file,row_num,card_id,source_card_id,prm,benchmark,problem_id,assignment,preference_raw,preference_norm,deblind_label,notes
1,annotation_sheet_returned_0.xlsx,1,6eac1b1d601d,gsm8k_skywork_prm_084,skywork_prm,gsm8k,gsm8k_263,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,2,6e021733e720,math500_skywork_prm_023,skywork_prm,math500,math500_299,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,3,fe8f9a56274b,math500_skywork_prm_042,skywork_prm,math500,math500_141,"product->A,gm->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,4,455df6aa2fcd,math500_skywork_prm_018,skywork_prm,math500,math500_283,"product->A,gm->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,5,18fd6f6487b9,gsm8k_skywork_prm_077,skywork_prm,gsm8k,gsm8k_247,"product->A,gm->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,6,c44b89827ed6,gsm8k_internlm2_7b_reward_077,internlm2_7b_reward,gsm8k,gsm8k_366,"product->A,gm->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,7,c28fe081cd0a,gsm8k_skywork_prm_011,skywork_prm,gsm8k,gsm8k_152,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,8,3cadef3ee492,math500_skywork_prm_028,skywork_prm,math500,math500_275,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,9,dc81af2746e2,math500_internlm2_7b_reward_094,internlm2_7b_reward,math500,math500_395,"product->A,gm->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,10,25be542327ca,math500_skywork_prm_026,skywork_prm,math500,math500_370,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,11,cb67057171c0,math500_skywork_prm_047,skywork_prm,math500,math500_334,"product->A,gm->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,12,981c01eaf0dc,gsm8k_internlm2_7b_reward_075,internlm2_7b_reward,gsm8k,gsm8k_064,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,13,4e2d389c9954,math500_internlm2_7b_reward_047,internlm2_7b_reward,math500,math500_221,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,14,7788f79d6d9b,gsm8k_skywork_prm_032,skywork_prm,gsm8k,gsm8k_362,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,15,40d8271a20ad,gsm8k_skywork_prm_044,skywork_prm,gsm8k,gsm8k_029,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,16,587cc87ead09,gsm8k_internlm2_7b_reward_089,internlm2_7b_reward,gsm8k,gsm8k_420,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,17,ce65c6a9c923,gsm8k_internlm2_7b_reward_031,internlm2_7b_reward,gsm8k,gsm8k_421,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,18,82ae2111f96f,math500_internlm2_7b_reward_057,internlm2_7b_reward,math500,math500_346,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,19,2b480f890201,gsm8k_skywork_prm_096,skywork_prm,gsm8k,gsm8k_128,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,20,c6dcda8ecc42,math500_skywork_prm_062,skywork_prm,math500,math500_093,"gm->A,product->B",A,A,gm,
1,annotation_sheet_returned_0.xlsx,21,aa95d0af4d32,gsm8k_internlm2_7b_reward_063,internlm2_7b_reward,gsm8k,gsm8k_029,"product->A,gm->B",B,B,gm,
1,annotation_sheet_returned_0.xlsx,22,c5e62e62b3f1,math500_internlm2_7b_reward_037,internlm2_7b_reward,math500,math500_208,"gm->A,product->B",No preference,No preference,no_preference,
1,annotation_sheet_returned_0.xlsx,23,59526b0df869,gsm8k_internlm2_7b_reward_054,internlm2_7b_reward,gsm8k,gsm8k_100,"gm->A,product->B",A,A,gm,
