annotator,row_num,card_id,source_card_id,assignment
1,1,6eac1b1d601d,gsm8k_skywork_prm_084,"product->A,gm->B"
1,2,6e021733e720,math500_skywork_prm_023,"product->A,gm->B"
1,3,fe8f9a56274b,math500_skywork_prm_042,"product->A,gm->B"
1,4,455df6aa2fcd,math500_skywork_prm_018,"product->A,gm->B"
1,5,18fd6f6487b9,gsm8k_skywork_prm_077,"product->A,gm->B"
1,6,c44b89827ed6,gsm8k_internlm2_7b_reward_077,"product->A,gm->B"
1,7,c28fe081cd0a,gsm8k_skywork_prm_011,"gm->A,product->B"
1,8,3cadef3ee492,math500_skywork_prm_028,"gm->A,product->B"
1,9,dc81af2746e2,math500_internlm2_7b_reward_094,"product->A,gm->B"
1,10,25be542327ca,math500_skywork_prm_026,"product->A,gm->B"
1,11,cb67057171c0,math500_skywork_prm_047,"product->A,gm->B"
1,12,981c01eaf0dc,gsm8k_internlm2_7b_reward_075,"gm->A,product->B"
1,13,4e2d389c9954,math500_internlm2_7b_reward_047,"product->A,gm->B"
1,14,7788f79d6d9b,gsm8k_skywork_prm_032,"gm->A,product->B"
1,15,40d8271a20ad,gsm8k_skywork_prm_044,"product->A,gm->B"
1,16,587cc87ead09,gsm8k_internlm2_7b_reward_089,"gm->A,product->B"
1,17,ce65c6a9c923,gsm8k_internlm2_7b_reward_031,"product->A,gm->B"
1,18,82ae2111f96f,math500_internlm2_7b_reward_057,"product->A,gm->B"
1,19,2b480f890201,gsm8k_skywork_prm_096,"gm->A,product->B"
1,20,c6dcda8ecc42,math500_skywork_prm_062,"gm->A,product->B"
1,21,aa95d0af4d32,gsm8k_internlm2_7b_reward_063,"product->A,gm->B"
1,22,c5e62e62b3f1,math500_internlm2_7b_reward_037,"gm->A,product->B"
1,23,59526b0df869,gsm8k_internlm2_7b_reward_054,"gm->A,product->B"
1,24,59d1a320db62,math500_skywork_prm_043,"gm->A,product->B"
1,25,a55e59e0aab3,math500_skywork_prm_065,"product->A,gm->B"
1,26,727b90783681,gsm8k_internlm2_7b_reward_017,"gm->A,product->B"
1,27,68b1141fe483,gsm8k_internlm2_7b_reward_061,"product->A,gm->B"
1,28,30967a05e57f,math500_internlm2_7b_reward_069,"gm->A,product->B"
1,29,ae3b9a57ba9e,math500_skywork_prm_063,"gm->A,product->B"
1,30,4d8f71196b4d,math500_internlm2_7b_reward_053,"gm->A,product->B"
1,31,6507c25a99bc,gsm8k_internlm2_7b_reward_064,"gm->A,product->B"
1,32,02c10db40f20,math500_skywork_prm_010,"gm->A,product->B"
1,33,cc5726e0fe8c,gsm8k_skywork_prm_065,"gm->A,product->B"
1,34,5fa099c70d62,gsm8k_internlm2_7b_reward_056,"product->A,gm->B"
1,35,e92541a9b790,math500_internlm2_7b_reward_079,"product->A,gm->B"
1,36,0a4b06c33d43,math500_internlm2_7b_reward_064,"gm->A,product->B"
1,37,195c8404266f,math500_internlm2_7b_reward_023,"gm->A,product->B"
1,38,08ebc5bec50d,math500_skywork_prm_067,"product->A,gm->B"
1,39,da0dd69948c7,math500_internlm2_7b_reward_086,"product->A,gm->B"
1,40,8b3488e3cf4b,gsm8k_skywork_prm_085,"product->A,gm->B"
1,41,23131037bb61,gsm8k_internlm2_7b_reward_039,"product->A,gm->B"
1,42,c8a3c0be29bf,gsm8k_internlm2_7b_reward_035,"gm->A,product->B"
1,43,bc11fae4e2ba,gsm8k_internlm2_7b_reward_076,"gm->A,product->B"
1,44,7d90908845c4,math500_skywork_prm_064,"product->A,gm->B"
1,45,5814f6a2aed3,math500_skywork_prm_045,"product->A,gm->B"
1,46,60d788ee8795,gsm8k_skywork_prm_061,"product->A,gm->B"
1,47,801c892459d7,math500_skywork_prm_002,"product->A,gm->B"
1,48,aa512e72df41,gsm8k_skywork_prm_054,"product->A,gm->B"
1,49,b55a5038f75a,gsm8k_skywork_prm_045,"gm->A,product->B"
1,50,298ea2e546a1,gsm8k_skywork_prm_021,"gm->A,product->B"
1,51,338f7581c177,math500_skywork_prm_022,"product->A,gm->B"
1,52,eef98f801fff,gsm8k_internlm2_7b_reward_005,"gm->A,product->B"
1,53,9fdeb3f7d85b,math500_skywork_prm_068,"gm->A,product->B"
1,54,0d1396a99aa8,gsm8k_skywork_prm_042,"gm->A,product->B"
1,55,65ec0bce0d20,gsm8k_skywork_prm_034,"gm->A,product->B"
1,56,0235b7e55b04,gsm8k_internlm2_7b_reward_047,"gm->A,product->B"
1,57,ab0aa14b0439,math500_skywork_prm_031,"gm->A,product->B"
