problem_id,top1_native_idx,attack_idx,flip_product,flip_gm,clean_product_idx,attacked_product_idx,clean_gm_idx,attacked_gm_idx,deleted_trace_steps
gsm8k_000,25,31,0,1,25,25,31,12,3
gsm8k_001,20,31,0,0,20,20,20,20,2
gsm8k_003,30,31,0,0,30,30,30,30,2
gsm8k_005,21,31,0,0,21,21,2,2,5
gsm8k_009,1,31,0,0,1,1,1,1,4
gsm8k_013,11,31,0,0,11,11,28,28,7
gsm8k_015,0,31,0,0,0,0,8,8,3
gsm8k_016,7,31,0,0,8,8,8,8,6
gsm8k_022,21,31,0,0,21,21,21,21,3
gsm8k_024,6,31,0,0,6,6,6,6,6
gsm8k_028,0,31,0,0,0,0,25,25,2
gsm8k_033,10,31,0,0,10,10,10,10,6
gsm8k_035,0,31,0,0,0,0,0,0,2
gsm8k_040,6,31,0,0,6,6,26,26,2
gsm8k_044,8,31,0,0,8,8,8,8,3
gsm8k_046,3,31,0,0,8,8,8,8,3
gsm8k_047,0,31,0,0,0,0,0,0,4
gsm8k_049,0,31,0,0,0,0,0,0,2
gsm8k_051,17,31,0,0,12,12,17,17,6
gsm8k_052,11,31,0,0,20,20,20,20,4
gsm8k_054,13,31,0,0,6,6,13,13,6
gsm8k_058,10,31,0,0,10,10,10,10,2
gsm8k_063,4,31,0,0,23,23,23,23,7
gsm8k_070,0,31,1,0,19,31,19,19,2
gsm8k_071,6,31,0,0,6,6,24,24,2
gsm8k_078,4,31,1,1,31,27,31,4,11
gsm8k_080,18,31,0,0,4,4,4,4,4
gsm8k_081,4,31,0,0,15,15,15,15,4
gsm8k_082,24,31,0,0,24,24,24,24,5
gsm8k_083,3,31,0,0,3,3,3,3,4
gsm8k_091,22,31,0,0,28,28,28,28,2
gsm8k_108,7,31,0,0,9,9,9,9,6
gsm8k_110,2,31,0,0,2,2,2,2,5
gsm8k_111,9,31,0,0,9,9,1,1,2
gsm8k_112,2,31,0,0,13,13,2,2,3
gsm8k_114,2,31,0,0,23,23,19,19,2
gsm8k_116,0,31,0,0,14,14,9,9,7
gsm8k_122,11,31,0,0,11,11,11,11,2
gsm8k_125,10,31,1,0,10,31,22,22,2
gsm8k_128,10,31,0,0,10,10,10,10,2
gsm8k_137,26,31,0,0,26,26,26,26,6
gsm8k_138,12,31,0,0,1,1,12,12,13
gsm8k_140,3,31,0,0,3,3,3,3,4
gsm8k_150,5,31,0,0,28,28,28,28,7
gsm8k_152,3,31,0,0,3,3,3,3,2
gsm8k_161,11,31,0,0,17,17,17,17,5
gsm8k_165,0,31,0,0,0,0,0,0,2
gsm8k_172,21,31,0,0,21,21,21,21,3
gsm8k_174,18,31,0,0,18,18,18,18,7
gsm8k_176,18,31,0,0,18,18,0,0,2
gsm8k_183,19,31,0,0,19,19,19,19,8
gsm8k_185,3,31,0,0,3,3,3,3,5
gsm8k_186,23,31,0,0,23,23,23,23,7
gsm8k_189,8,31,0,0,8,8,8,8,6
gsm8k_193,21,31,1,1,31,21,31,21,3
gsm8k_194,2,31,0,0,16,16,16,16,2
gsm8k_195,0,31,1,1,0,31,0,31,5
gsm8k_197,14,31,0,0,27,27,14,14,9
gsm8k_204,17,31,0,0,12,12,30,30,5
gsm8k_205,14,31,0,0,14,14,14,14,3
gsm8k_214,17,31,0,0,17,17,17,17,10
gsm8k_216,0,31,0,0,0,0,0,0,2
gsm8k_219,8,31,0,0,8,8,17,17,6
gsm8k_222,11,31,0,0,11,11,11,11,2
gsm8k_239,12,31,0,0,12,12,12,12,5
gsm8k_250,1,31,0,0,2,2,14,14,3
gsm8k_252,31,30,1,0,31,30,18,18,2
gsm8k_256,16,31,0,0,16,16,16,16,4
gsm8k_258,23,31,0,0,23,23,23,23,3
gsm8k_259,17,31,1,0,24,31,24,24,3
gsm8k_260,7,31,0,0,7,7,27,27,4
gsm8k_270,3,31,0,0,12,12,12,12,2
gsm8k_271,26,31,1,0,26,31,26,26,2
gsm8k_273,5,31,0,0,27,27,27,27,2
gsm8k_274,24,31,0,0,24,24,24,24,4
gsm8k_275,0,31,0,0,13,13,13,13,2
gsm8k_276,13,31,0,0,13,13,13,13,5
gsm8k_282,26,31,0,0,26,26,26,26,2
gsm8k_283,0,31,0,0,0,0,9,9,2
gsm8k_285,29,31,0,0,29,29,29,29,2
gsm8k_287,0,31,0,0,17,17,17,17,4
gsm8k_290,0,31,0,0,4,4,20,20,3
gsm8k_295,5,31,0,0,13,13,2,2,9
gsm8k_302,0,31,0,0,2,2,14,14,3
gsm8k_309,4,31,0,0,5,5,4,4,4
gsm8k_316,14,31,0,0,14,14,1,1,3
gsm8k_319,9,31,0,0,9,9,9,9,6
gsm8k_321,5,31,0,0,5,5,5,5,2
gsm8k_325,15,31,0,0,15,15,15,15,4
gsm8k_327,7,31,0,0,10,10,30,30,5
gsm8k_329,1,31,0,0,19,19,19,19,2
gsm8k_330,17,31,1,0,1,31,17,17,3
gsm8k_338,0,31,0,0,0,0,29,29,6
gsm8k_346,4,31,0,0,4,4,4,4,5
gsm8k_349,1,31,0,0,27,27,27,27,3
gsm8k_350,6,31,0,0,12,12,12,12,4
gsm8k_355,0,31,0,0,16,16,16,16,2
gsm8k_357,31,30,0,0,31,31,31,31,5
gsm8k_359,1,31,0,0,19,19,19,19,3
gsm8k_360,23,31,0,0,23,23,23,23,5
gsm8k_366,1,31,0,0,3,3,3,3,6
gsm8k_367,1,31,0,0,1,1,1,1,5
gsm8k_376,7,31,0,0,7,7,7,7,4
gsm8k_377,2,31,0,0,2,2,2,2,5
gsm8k_379,1,31,0,0,1,1,1,1,2
gsm8k_386,2,31,0,0,2,2,2,2,6
gsm8k_388,1,31,0,0,29,29,29,29,5
gsm8k_390,2,31,0,0,15,15,18,18,5
gsm8k_395,11,31,0,0,18,18,18,18,5
gsm8k_399,3,31,0,0,11,11,22,22,2
gsm8k_404,0,31,0,0,16,16,16,16,5
gsm8k_405,5,31,0,0,14,14,14,14,4
gsm8k_411,16,31,0,0,16,16,16,16,6
gsm8k_413,15,31,0,0,15,15,15,15,2
gsm8k_424,2,31,0,0,15,15,15,15,5
gsm8k_427,1,31,1,1,20,31,1,31,6
gsm8k_430,2,31,0,0,2,2,2,2,2
gsm8k_431,19,31,0,0,19,19,19,19,7
gsm8k_433,5,31,0,0,5,5,5,5,2
gsm8k_436,1,31,0,0,1,1,1,1,2
gsm8k_438,20,31,0,0,20,20,20,20,5
gsm8k_441,0,31,0,0,8,8,8,8,6
gsm8k_444,14,31,0,0,14,14,14,14,2
gsm8k_445,3,31,0,0,3,3,9,9,3
gsm8k_447,4,31,0,0,4,4,4,4,4
gsm8k_455,1,31,0,0,1,1,1,1,3
gsm8k_456,6,31,0,0,26,26,26,26,3
gsm8k_458,21,31,1,1,21,31,21,31,5
gsm8k_459,23,31,0,0,23,23,23,23,5
gsm8k_463,0,31,0,0,2,2,3,3,4
gsm8k_464,10,31,0,0,10,10,10,10,4
gsm8k_467,0,31,0,0,0,0,0,0,3
gsm8k_473,6,31,1,1,6,31,31,2,2
gsm8k_474,4,31,0,0,17,17,17,17,7
gsm8k_478,5,31,0,0,5,5,5,5,4
gsm8k_480,1,31,0,0,1,1,21,21,2
gsm8k_482,2,31,1,1,2,31,2,31,4
gsm8k_483,2,31,0,0,18,18,18,18,4
gsm8k_486,7,31,0,0,7,7,7,7,3
gsm8k_487,20,31,0,0,20,20,20,20,3
gsm8k_490,3,31,0,0,3,3,3,3,2
gsm8k_498,4,31,0,0,4,4,4,4,3
gsm8k_499,16,31,0,0,16,16,16,16,6
