checkpoint,benchmark,alpha,flip_rate,ci_lo,ci_hi,n_eligible
internlm2_1_8b_reward,gsm8k,0.00,0.32590529247910865,0.2785515320334262,0.3788300835654596,359
internlm2_1_8b_reward,gsm8k,0.25,0.27019498607242337,0.21727019498607242,0.31754874651810583,359
internlm2_1_8b_reward,gsm8k,0.50,0.19220055710306408,0.15598885793871867,0.233983286908078,359
internlm2_1_8b_reward,gsm8k,0.75,0.11142061281337047,0.0807799442896936,0.14484679665738162,359
internlm2_1_8b_reward,gsm8k,1.00,0.0584958217270195,0.036211699164345405,0.08635097493036212,359
internlm2_7b_reward,gsm8k,0.00,0.1561712846347607,0.12090680100755667,0.1964735516372796,397
internlm2_7b_reward,gsm8k,0.25,0.12846347607052896,0.09571788413098237,0.16624685138539042,397
internlm2_7b_reward,gsm8k,0.50,0.11335012594458438,0.08060453400503778,0.14357682619647355,397
internlm2_7b_reward,gsm8k,0.75,0.08060453400503778,0.055415617128463476,0.11083123425692695,397
internlm2_7b_reward,gsm8k,1.00,0.0654911838790932,0.042821158690176324,0.0906801007556675,397
math_shepherd,gsm8k,0.00,0.10240963855421686,0.06927710843373494,0.1355421686746988,332
math_shepherd,gsm8k,0.25,0.0963855421686747,0.06626506024096386,0.12951807228915663,332
math_shepherd,gsm8k,0.50,0.07228915662650602,0.045180722891566265,0.09939759036144578,332
math_shepherd,gsm8k,0.75,0.06626506024096386,0.04216867469879518,0.0963855421686747,332
math_shepherd,gsm8k,1.00,0.0391566265060241,0.018072289156626505,0.06325301204819277,332
qwen_prm,gsm8k,0.00,0.03950617283950617,0.019753086419753086,0.06172839506172839,405
qwen_prm,gsm8k,0.25,0.04197530864197531,0.024691358024691357,0.06172839506172839,405
qwen_prm,gsm8k,0.50,0.04197530864197531,0.024691358024691357,0.06419753086419754,405
qwen_prm,gsm8k,0.75,0.037037037037037035,0.019753086419753086,0.056790123456790124,405
qwen_prm,gsm8k,1.00,0.03209876543209877,0.014814814814814815,0.04938271604938271,405
rlhflow_prm,gsm8k,0.00,0.04358974358974359,0.02564102564102564,0.06666666666666667,390
rlhflow_prm,gsm8k,0.25,0.038461538461538464,0.020512820512820513,0.05897435897435897,390
rlhflow_prm,gsm8k,0.50,0.028205128205128206,0.01282051282051282,0.046153846153846156,390
rlhflow_prm,gsm8k,0.75,0.028205128205128206,0.01282051282051282,0.046153846153846156,390
rlhflow_prm,gsm8k,1.00,0.028205128205128206,0.01282051282051282,0.046153846153846156,390
skywork_prm,gsm8k,0.00,0.24057971014492754,0.19710144927536233,0.28695652173913044,345
