checkpoint,benchmark,alpha,gain,ci_lo,ci_hi,pass_at_1_alpha,random_accuracy,n_problems
internlm2_1_8b_reward,gsm8k,0.00,-0.012,-0.04,0.016,0.828,0.84,500
internlm2_1_8b_reward,gsm8k,0.25,-0.014,-0.042,0.014,0.826,0.84,500
internlm2_1_8b_reward,gsm8k,0.50,-0.016,-0.042,0.012,0.824,0.84,500
internlm2_1_8b_reward,gsm8k,0.75,-0.012,-0.038,0.018,0.828,0.84,500
internlm2_1_8b_reward,gsm8k,1.00,-0.008,-0.036,0.02,0.832,0.84,500
internlm2_7b_reward,gsm8k,0.00,-0.012,-0.038,0.014,0.828,0.84,500
internlm2_7b_reward,gsm8k,0.25,-0.006,-0.032,0.02,0.834,0.84,500
internlm2_7b_reward,gsm8k,0.50,-0.01,-0.034,0.018,0.83,0.84,500
internlm2_7b_reward,gsm8k,0.75,-0.008,-0.034,0.018,0.832,0.84,500
internlm2_7b_reward,gsm8k,1.00,0.0,-0.024,0.026,0.84,0.84,500
math_shepherd,gsm8k,0.00,0.01,-0.012,0.034,0.85,0.84,500
math_shepherd,gsm8k,0.25,0.008,-0.016,0.032,0.848,0.84,500
math_shepherd,gsm8k,0.50,0.006,-0.02,0.032,0.846,0.84,500
math_shepherd,gsm8k,0.75,0.004,-0.022,0.028,0.844,0.84,500
math_shepherd,gsm8k,1.00,0.008,-0.016,0.032,0.848,0.84,500
qwen_prm,gsm8k,0.00,0.054,0.03,0.076,0.894,0.84,500
qwen_prm,gsm8k,0.25,0.056,0.03,0.08,0.896,0.84,500
qwen_prm,gsm8k,0.50,0.054,0.03,0.078,0.894,0.84,500
qwen_prm,gsm8k,0.75,0.054,0.032,0.078,0.894,0.84,500
qwen_prm,gsm8k,1.00,0.054,0.03,0.078,0.894,0.84,500
rlhflow_prm,gsm8k,0.00,0.012,-0.01,0.034,0.852,0.84,500
rlhflow_prm,gsm8k,0.25,0.016,-0.006,0.042,0.856,0.84,500
rlhflow_prm,gsm8k,0.50,0.01,-0.014,0.034,0.85,0.84,500
rlhflow_prm,gsm8k,0.75,0.014,-0.008,0.038,0.854,0.84,500
rlhflow_prm,gsm8k,1.00,0.016,-0.008,0.04,0.856,0.84,500
skywork_prm,gsm8k,0.00,0.03,0.004,0.058,0.87,0.84,500
skywork_prm,gsm8k,0.25,0.03,0.004,0.056,0.87,0.84,500
skywork_prm,gsm8k,0.50,0.03,0.002,0.056,0.87,0.84,500
skywork_prm,gsm8k,0.75,0.036,0.012,0.062,0.876,0.84,500
skywork_prm,gsm8k,1.00,0.048,0.022,0.074,0.888,0.84,500
skywork_prm_1_5b,gsm8k,0.00,0.012,-0.018,0.04,0.852,0.84,500
skywork_prm_1_5b,gsm8k,0.25,0.016,-0.01,0.044,0.856,0.84,500
skywork_prm_1_5b,gsm8k,0.50,0.02,-0.006,0.048,0.86,0.84,500
skywork_prm_1_5b,gsm8k,0.75,0.03,0.004,0.058,0.87,0.84,500
skywork_prm_1_5b,gsm8k,1.00,0.032,0.006,0.058,0.872,0.84,500
internlm2_1_8b_reward,math500,0.00,0.034,0.004,0.066,0.678,0.644,500
internlm2_1_8b_reward,math500,0.25,0.032,0.004,0.062,0.676,0.644,500
internlm2_1_8b_reward,math500,0.50,0.042,0.014,0.07,0.686,0.644,500
internlm2_1_8b_reward,math500,0.75,0.034,0.004,0.066,0.678,0.644,500
internlm2_1_8b_reward,math500,1.00,0.036,0.006,0.064,0.68,0.644,500
internlm2_7b_reward,math500,0.00,0.042,0.014,0.074,0.686,0.644,500
internlm2_7b_reward,math500,0.25,0.028,0.0,0.056,0.672,0.644,500
internlm2_7b_reward,math500,0.50,0.034,0.004,0.064,0.678,0.644,500
internlm2_7b_reward,math500,0.75,0.042,0.012,0.07,0.686,0.644,500
internlm2_7b_reward,math500,1.00,0.034,0.006,0.062,0.678,0.644,500
math_shepherd,math500,0.00,0.04,0.012,0.072,0.684,0.644,500
math_shepherd,math500,0.25,0.036,0.004,0.068,0.68,0.644,500
math_shepherd,math500,0.50,0.032,0.002,0.064,0.676,0.644,500
math_shepherd,math500,0.75,0.026,-0.002,0.056,0.67,0.644,500
math_shepherd,math500,1.00,0.038,0.008,0.068,0.682,0.644,500
qwen_prm,math500,0.00,0.1,0.07,0.134,0.744,0.644,500
qwen_prm,math500,0.25,0.096,0.062,0.128,0.74,0.644,500
qwen_prm,math500,0.50,0.094,0.06,0.126,0.738,0.644,500
qwen_prm,math500,0.75,0.098,0.068,0.13,0.742,0.644,500
qwen_prm,math500,1.00,0.094,0.064,0.126,0.738,0.644,500
rlhflow_prm,math500,0.00,0.048,0.02,0.078,0.692,0.644,500
rlhflow_prm,math500,0.25,0.066,0.036,0.098,0.71,0.644,500
rlhflow_prm,math500,0.50,0.056,0.026,0.088,0.7,0.644,500
rlhflow_prm,math500,0.75,0.05,0.016,0.082,0.694,0.644,500
rlhflow_prm,math500,1.00,0.054,0.022,0.088,0.698,0.644,500
skywork_prm,math500,0.00,0.07,0.042,0.102,0.714,0.644,500
