checkpoint,benchmark,alpha,apr_nec,apr_inert,delta_ni,ci_lo,ci_hi,n_nec,n_inert
internlm2_1_8b_reward,gsm8k,0.00,0.8,0.96,-0.15999999999999992,-0.21999999999999997,-0.09500000000000008,200,200
internlm2_1_8b_reward,gsm8k,0.25,0.695,0.93,-0.2350000000000001,-0.30499999999999994,-0.16500000000000004,200,200
internlm2_1_8b_reward,gsm8k,0.50,0.495,0.87,-0.375,-0.455,-0.2899999999999999,200,200
internlm2_1_8b_reward,gsm8k,0.75,0.35,0.74,-0.39,-0.48000000000000004,-0.29999999999999993,200,200
internlm2_1_8b_reward,gsm8k,1.00,0.195,0.555,-0.36000000000000004,-0.44999999999999996,-0.27,200,200
internlm2_7b_reward,gsm8k,0.00,0.66,0.915,-0.255,-0.33000000000000007,-0.18000000000000005,200,200
internlm2_7b_reward,gsm8k,0.25,0.545,0.83,-0.2849999999999999,-0.375,-0.19500000000000006,200,200
internlm2_7b_reward,gsm8k,0.50,0.425,0.665,-0.24000000000000005,-0.32999999999999996,-0.14,200,200
internlm2_7b_reward,gsm8k,0.75,0.325,0.59,-0.26499999999999996,-0.355,-0.16500000000000004,200,200
internlm2_7b_reward,gsm8k,1.00,0.14,0.385,-0.245,-0.33,-0.165,200,200
math_shepherd,gsm8k,0.00,0.405,0.815,-0.4099999999999999,-0.49999999999999994,-0.32,200,200
math_shepherd,gsm8k,0.25,0.355,0.775,-0.42000000000000004,-0.51,-0.33,200,200
math_shepherd,gsm8k,0.50,0.315,0.7,-0.38499999999999995,-0.475,-0.29500000000000004,200,200
math_shepherd,gsm8k,0.75,0.29,0.64,-0.35000000000000003,-0.44000000000000006,-0.255,200,200
math_shepherd,gsm8k,1.00,0.225,0.585,-0.36,-0.445,-0.265,200,200
qwen_prm,gsm8k,0.00,0.11,0.445,-0.335,-0.415,-0.25,200,200
qwen_prm,gsm8k,0.25,0.09,0.41,-0.31999999999999995,-0.395,-0.22999999999999998,200,200
qwen_prm,gsm8k,0.50,0.07,0.35,-0.27999999999999997,-0.35500000000000004,-0.20999999999999996,200,200
qwen_prm,gsm8k,0.75,0.07,0.32,-0.25,-0.325,-0.18,200,200
qwen_prm,gsm8k,1.00,0.06,0.305,-0.245,-0.315,-0.175,200,200
rlhflow_prm,gsm8k,0.00,0.145,0.455,-0.31000000000000005,-0.39499999999999996,-0.22999999999999998,200,200
rlhflow_prm,gsm8k,0.25,0.115,0.37,-0.255,-0.33499999999999996,-0.16999999999999998,200,200
rlhflow_prm,gsm8k,0.50,0.09,0.295,-0.205,-0.27999999999999997,-0.12500000000000003,200,200
rlhflow_prm,gsm8k,0.75,0.08,0.225,-0.14500000000000002,-0.20500000000000002,-0.07999999999999999,200,200
rlhflow_prm,gsm8k,1.00,0.07,0.16,-0.09,-0.15,-0.024999999999999994,200,200
skywork_prm,gsm8k,0.00,0.42,0.785,-0.36500000000000005,-0.45000000000000007,-0.27499999999999997,200,200
skywork_prm,gsm8k,0.25,0.37,0.72,-0.35,-0.43500000000000005,-0.25500000000000006,200,200
skywork_prm,gsm8k,0.50,0.315,0.58,-0.26499999999999996,-0.365,-0.16500000000000004,200,200
skywork_prm,gsm8k,0.75,0.265,0.475,-0.20999999999999996,-0.30500000000000005,-0.12,200,200
skywork_prm,gsm8k,1.00,0.19,0.395,-0.20500000000000002,-0.29500000000000004,-0.11500000000000002,200,200
skywork_prm_1_5b,gsm8k,0.00,0.49,0.885,-0.395,-0.47500000000000003,-0.30999999999999994,200,200
skywork_prm_1_5b,gsm8k,0.25,0.475,0.845,-0.37,-0.455,-0.28,200,200
skywork_prm_1_5b,gsm8k,0.50,0.375,0.79,-0.41500000000000004,-0.49500000000000005,-0.33,200,200
skywork_prm_1_5b,gsm8k,0.75,0.285,0.655,-0.37000000000000005,-0.45999999999999996,-0.285,200,200
skywork_prm_1_5b,gsm8k,1.00,0.21,0.51,-0.30000000000000004,-0.385,-0.20999999999999996,200,200
internlm2_1_8b_reward,math500,0.00,0.87,0.96,-0.08999999999999997,-0.14,-0.03500000000000003,200,200
internlm2_1_8b_reward,math500,0.25,0.735,0.93,-0.19500000000000006,-0.265,-0.125,200,200
internlm2_1_8b_reward,math500,0.50,0.52,0.88,-0.36,-0.44,-0.28,200,200
internlm2_1_8b_reward,math500,0.75,0.375,0.8,-0.42500000000000004,-0.5149999999999999,-0.33,200,200
internlm2_1_8b_reward,math500,1.00,0.215,0.645,-0.43000000000000005,-0.5149999999999999,-0.34,200,200
internlm2_7b_reward,math500,0.00,0.535,0.875,-0.33999999999999997,-0.42500000000000004,-0.255,200,200
internlm2_7b_reward,math500,0.25,0.415,0.75,-0.335,-0.42000000000000004,-0.24,200,200
internlm2_7b_reward,math500,0.50,0.28,0.625,-0.345,-0.43500000000000005,-0.24499999999999994,200,200
internlm2_7b_reward,math500,0.75,0.22,0.42,-0.19999999999999998,-0.29,-0.10999999999999999,200,200
internlm2_7b_reward,math500,1.00,0.19,0.255,-0.065,-0.155,0.01999999999999999,200,200
math_shepherd,math500,0.00,0.39,0.715,-0.32499999999999996,-0.42000000000000004,-0.23999999999999994,200,200
math_shepherd,math500,0.25,0.365,0.67,-0.30500000000000005,-0.405,-0.21000000000000002,200,200
math_shepherd,math500,0.50,0.34,0.595,-0.25499999999999995,-0.34500000000000003,-0.15999999999999998,200,200
math_shepherd,math500,0.75,0.285,0.505,-0.22000000000000003,-0.31000000000000005,-0.13,200,200
math_shepherd,math500,1.00,0.245,0.41,-0.16499999999999998,-0.255,-0.07500000000000001,200,200
qwen_prm,math500,0.00,0.075,0.22,-0.14500000000000002,-0.215,-0.07999999999999999,200,200
qwen_prm,math500,0.25,0.065,0.165,-0.1,-0.16,-0.039999999999999994,200,200
qwen_prm,math500,0.50,0.055,0.135,-0.08000000000000002,-0.135,-0.024999999999999994,200,200
qwen_prm,math500,0.75,0.055,0.105,-0.049999999999999996,-0.10500000000000001,0.0,200,200
qwen_prm,math500,1.00,0.045,0.095,-0.05,-0.1,0.0,200,200
rlhflow_prm,math500,0.00,0.15,0.455,-0.30500000000000005,-0.39,-0.215,200,200
rlhflow_prm,math500,0.25,0.12,0.305,-0.185,-0.26,-0.10999999999999999,200,200
rlhflow_prm,math500,0.50,0.06,0.21,-0.15,-0.215,-0.08499999999999999,200,200
rlhflow_prm,math500,0.75,0.025,0.14,-0.11500000000000002,-0.165,-0.065,200,200
rlhflow_prm,math500,1.00,0.02,0.06,-0.039999999999999994,-0.08,-0.0049999999999999975,200,200
skywork_prm,math500,0.00,0.41,0.7,-0.29,-0.38499999999999995,-0.195,200,200
skywork_prm,math500,0.25,0.335,0.57,-0.23499999999999993,-0.325,-0.135,200,200
skywork_prm,math500,0.50,0.285,0.475,-0.19,-0.29000000000000004,-0.09500000000000003,200,200
skywork_prm,math500,0.75,0.225,0.285,-0.05999999999999997,-0.14,0.020000000000000018,200,200
skywork_prm,math500,1.00,0.17,0.2,-0.03,-0.10500000000000001,0.044999999999999984,200,200
skywork_prm_1_5b,math500,0.00,0.415,0.755,-0.34,-0.43000000000000005,-0.24999999999999994,200,200
skywork_prm_1_5b,math500,0.25,0.34,0.675,-0.335,-0.425,-0.24,200,200
skywork_prm_1_5b,math500,0.50,0.28,0.52,-0.24,-0.32999999999999996,-0.15000000000000002,200,200
skywork_prm_1_5b,math500,0.75,0.21,0.395,-0.18500000000000003,-0.27,-0.09499999999999997,200,200
skywork_prm_1_5b,math500,1.00,0.155,0.22,-0.065,-0.135,0.014999999999999986,200,200
