card_id,prm,benchmark,gm_votes,product_votes,gm_preferred,cell_id
gsm8k_skywork_prm_001,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_002,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_003,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_004,Skywork-7B,gsm8k,0,3,0,Skywork-7B_gsm8k
gsm8k_skywork_prm_005,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_006,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_007,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_008,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_009,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_010,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_011,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_012,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_013,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_014,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_015,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_016,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_017,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_018,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_019,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_020,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_021,Skywork-7B,gsm8k,0,3,0,Skywork-7B_gsm8k
gsm8k_skywork_prm_022,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_023,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_024,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_025,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_026,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_027,Skywork-7B,gsm8k,0,3,0,Skywork-7B_gsm8k
gsm8k_skywork_prm_028,Skywork-7B,gsm8k,0,3,0,Skywork-7B_gsm8k
gsm8k_skywork_prm_029,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_030,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_031,Skywork-7B,gsm8k,0,3,0,Skywork-7B_gsm8k
gsm8k_skywork_prm_032,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_033,Skywork-7B,gsm8k,0,3,0,Skywork-7B_gsm8k
gsm8k_skywork_prm_034,Skywork-7B,gsm8k,2,1,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_035,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_036,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_037,Skywork-7B,gsm8k,0,3,0,Skywork-7B_gsm8k
gsm8k_skywork_prm_038,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_039,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_040,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_041,Skywork-7B,gsm8k,0,3,0,Skywork-7B_gsm8k
gsm8k_skywork_prm_042,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_043,Skywork-7B,gsm8k,2,1,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_044,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_045,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_046,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_047,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_048,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_049,Skywork-7B,gsm8k,2,1,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_050,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_051,Skywork-7B,gsm8k,1,2,0,Skywork-7B_gsm8k
gsm8k_skywork_prm_052,Skywork-7B,gsm8k,0,3,0,Skywork-7B_gsm8k
gsm8k_skywork_prm_053,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_054,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_055,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_056,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_057,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_058,Skywork-7B,gsm8k,0,3,0,Skywork-7B_gsm8k
gsm8k_skywork_prm_059,Skywork-7B,gsm8k,2,1,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_060,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_061,Skywork-7B,gsm8k,0,3,0,Skywork-7B_gsm8k
gsm8k_skywork_prm_062,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_063,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_064,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_065,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_066,Skywork-7B,gsm8k,2,1,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_067,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_068,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_069,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_070,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_071,Skywork-7B,gsm8k,1,2,0,Skywork-7B_gsm8k
gsm8k_skywork_prm_072,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_073,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_074,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_075,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_076,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_077,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_078,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_079,Skywork-7B,gsm8k,0,3,0,Skywork-7B_gsm8k
gsm8k_skywork_prm_080,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_081,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_082,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_083,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_084,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_085,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_086,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_087,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_088,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_089,Skywork-7B,gsm8k,0,3,0,Skywork-7B_gsm8k
gsm8k_skywork_prm_090,Skywork-7B,gsm8k,0,3,0,Skywork-7B_gsm8k
gsm8k_skywork_prm_091,Skywork-7B,gsm8k,0,3,0,Skywork-7B_gsm8k
gsm8k_skywork_prm_092,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_093,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_094,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_095,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_096,Skywork-7B,gsm8k,0,3,0,Skywork-7B_gsm8k
gsm8k_skywork_prm_097,Skywork-7B,gsm8k,0,3,0,Skywork-7B_gsm8k
gsm8k_skywork_prm_098,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_099,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
gsm8k_skywork_prm_100,Skywork-7B,gsm8k,3,0,1,Skywork-7B_gsm8k
math500_skywork_prm_001,Skywork-7B,math500,3,0,1,Skywork-7B_math500
math500_skywork_prm_002,Skywork-7B,math500,3,0,1,Skywork-7B_math500
math500_skywork_prm_003,Skywork-7B,math500,2,1,1,Skywork-7B_math500
math500_skywork_prm_004,Skywork-7B,math500,3,0,1,Skywork-7B_math500
math500_skywork_prm_005,Skywork-7B,math500,3,0,1,Skywork-7B_math500
math500_skywork_prm_006,Skywork-7B,math500,3,0,1,Skywork-7B_math500
math500_skywork_prm_007,Skywork-7B,math500,3,0,1,Skywork-7B_math500
math500_skywork_prm_008,Skywork-7B,math500,3,0,1,Skywork-7B_math500
math500_skywork_prm_009,Skywork-7B,math500,3,0,1,Skywork-7B_math500
math500_skywork_prm_010,Skywork-7B,math500,0,3,0,Skywork-7B_math500
math500_skywork_prm_011,Skywork-7B,math500,1,2,0,Skywork-7B_math500
math500_skywork_prm_012,Skywork-7B,math500,0,3,0,Skywork-7B_math500
math500_skywork_prm_013,Skywork-7B,math500,0,3,0,Skywork-7B_math500
math500_skywork_prm_015,Skywork-7B,math500,3,0,1,Skywork-7B_math500
math500_skywork_prm_016,Skywork-7B,math500,3,0,1,Skywork-7B_math500
math500_skywork_prm_017,Skywork-7B,math500,3,0,1,Skywork-7B_math500
math500_skywork_prm_018,Skywork-7B,math500,3,0,1,Skywork-7B_math500
math500_skywork_prm_019,Skywork-7B,math500,3,0,1,Skywork-7B_math500
math500_skywork_prm_020,Skywork-7B,math500,3,0,1,Skywork-7B_math500
math500_skywork_prm_021,Skywork-7B,math500,3,0,1,Skywork-7B_math500
math500_skywork_prm_022,Skywork-7B,math500,3,0,1,Skywork-7B_math500
math500_skywork_prm_023,Skywork-7B,math500,3,0,1,Skywork-7B_math500
math500_skywork_prm_024,Skywork-7B,math500,3,0,1,Skywork-7B_math500
math500_skywork_prm_025,Skywork-7B,math500,3,0,1,Skywork-7B_math500
math500_skywork_prm_026,Skywork-7B,math500,3,0,1,Skywork-7B_math500
math500_skywork_prm_027,Skywork-7B,math500,3,0,1,Skywork-7B_math500
math500_skywork_prm_028,Skywork-7B,math500,3,0,1,Skywork-7B_math500
math500_skywork_prm_029,Skywork-7B,math500,0,3,0,Skywork-7B_math500
math500_skywork_prm_030,Skywork-7B,math500,0,3,0,Skywork-7B_math500
math500_skywork_prm_031,Skywork-7B,math500,3,0,1,Skywork-7B_math500
math500_skywork_prm_032,Skywork-7B,math500,3,0,1,Skywork-7B_math500
math500_skywork_prm_033,Skywork-7B,math500,3,0,1,Skywork-7B_math500
math500_skywork_prm_034,Skywork-7B,math500,1,2,0,Skywork-7B_math500
math500_skywork_prm_035,Skywork-7B,math500,3,0,1,Skywork-7B_math500
math500_skywork_prm_036,Skywork-7B,math500,3,0,1,Skywork-7B_math500
math500_skywork_prm_037,Skywork-7B,math500,3,0,1,Skywork-7B_math500
math500_skywork_prm_038,Skywork-7B,math500,3,0,1,Skywork-7B_math500
math500_skywork_prm_039,Skywork-7B,math500,3,0,1,Skywork-7B_math500
