prm,benchmark,method,n_total_clean,n_attack_base,n_method_eligible,flip_rate,flip_ci_lo,flip_ci_hi,wrong_rate,wrong_ci_lo,wrong_ci_hi,pass_at_1,gain_at_32,random_accuracy
math_shepherd,gsm8k,product,500,332,329,0.1033434650455927,0.0729483282674772,0.13677811550151975,0.0,0.0,0.0,0.85,0.01,0.84
math_shepherd,gsm8k,gm,500,332,328,0.039634146341463415,0.018292682926829267,0.06097560975609756,0.0,0.0,0.0,0.848,0.008,0.84
math_shepherd,gsm8k,official,500,332,332,0.045180722891566265,0.024096385542168676,0.06927710843373494,0.0,0.0,0.0,0.852,0.012,0.84
math_shepherd,gsm8k,cluster_sum_gm,500,332,325,0.04,0.018461538461538463,0.06153846153846154,0.0,0.0,0.0,0.858,0.018,0.84
math_shepherd,gsm8k,cluster_majority_weighted_gm,500,332,325,0.04,0.021538461538461538,0.06153846153846154,0.0,0.0,0.0,0.858,0.018,0.84
math_shepherd,gsm8k,cluster_majority_vote,500,332,324,0.040123456790123455,0.018518518518518517,0.06172839506172839,0.0,0.0,0.0,0.86,0.02,0.84
skywork_prm,gsm8k,product,500,345,337,0.24629080118694363,0.20178041543026706,0.29673590504451036,0.0,0.0,0.0,0.87,0.03,0.84
skywork_prm,gsm8k,gm,500,345,343,0.09620991253644315,0.06705539358600583,0.1282798833819242,0.0,0.0,0.0,0.888,0.048,0.84
skywork_prm,gsm8k,official,500,345,343,0.09620991253644315,0.0641399416909621,0.1282798833819242,0.0,0.0,0.0,0.888,0.048,0.84
skywork_prm,gsm8k,cluster_sum_gm,500,345,332,0.09337349397590361,0.06325301204819277,0.12650602409638553,0.0,0.0,0.0,0.862,0.022,0.84
skywork_prm,gsm8k,cluster_majority_weighted_gm,500,345,332,0.09337349397590361,0.06325301204819277,0.12650602409638553,0.0,0.0,0.0,0.862,0.022,0.84
skywork_prm,gsm8k,cluster_majority_vote,500,345,330,0.09090909090909091,0.06363636363636363,0.12727272727272726,0.0,0.0,0.0,0.856,0.016,0.84
skywork_prm_1_5b,gsm8k,product,500,328,320,0.2375,0.190625,0.28125,0.0,0.0,0.0,0.852,0.012,0.84
skywork_prm_1_5b,gsm8k,gm,500,328,325,0.12615384615384614,0.08923076923076922,0.16307692307692306,0.0,0.0,0.0,0.872,0.032,0.84
skywork_prm_1_5b,gsm8k,official,500,328,325,0.12307692307692308,0.08615384615384615,0.16,0.0,0.0,0.0,0.876,0.036,0.84
