prm,benchmark,method,n_total_clean,pass_at_1,gain_at_32,random_accuracy
math_shepherd,gsm8k,product,500,0.85,0.01,0.84
math_shepherd,gsm8k,gm,500,0.848,0.008,0.84
math_shepherd,gsm8k,official,500,0.852,0.012,0.84
math_shepherd,gsm8k,cluster_sum_gm,500,0.858,0.018,0.84
math_shepherd,gsm8k,cluster_majority_weighted_gm,500,0.858,0.018,0.84
math_shepherd,gsm8k,cluster_majority_vote,500,0.86,0.02,0.84
skywork_prm,gsm8k,product,500,0.87,0.03,0.84
skywork_prm,gsm8k,gm,500,0.888,0.048,0.84
skywork_prm,gsm8k,official,500,0.888,0.048,0.84
skywork_prm,gsm8k,cluster_sum_gm,500,0.862,0.022,0.84
skywork_prm,gsm8k,cluster_majority_weighted_gm,500,0.862,0.022,0.84
skywork_prm,gsm8k,cluster_majority_vote,500,0.856,0.016,0.84
skywork_prm_1_5b,gsm8k,product,500,0.852,0.012,0.84
skywork_prm_1_5b,gsm8k,gm,500,0.872,0.032,0.84
skywork_prm_1_5b,gsm8k,official,500,0.876,0.036,0.84
skywork_prm_1_5b,gsm8k,cluster_sum_gm,500,0.858,0.018,0.84
skywork_prm_1_5b,gsm8k,cluster_majority_weighted_gm,500,0.858,0.018,0.84
skywork_prm_1_5b,gsm8k,cluster_majority_vote,500,0.858,0.018,0.84
qwen_prm,gsm8k,product,500,0.894,0.054,0.84
qwen_prm,gsm8k,gm,500,0.894,0.054,0.84
qwen_prm,gsm8k,official,500,0.894,0.054,0.84
qwen_prm,gsm8k,cluster_sum_gm,500,0.862,0.022,0.84
qwen_prm,gsm8k,cluster_majority_weighted_gm,500,0.862,0.022,0.84
qwen_prm,gsm8k,cluster_majority_vote,500,0.858,0.018,0.84
rlhflow_prm,gsm8k,product,500,0.852,0.012,0.84
rlhflow_prm,gsm8k,gm,500,0.856,0.016,0.84
rlhflow_prm,gsm8k,official,500,0.858,0.018,0.84
rlhflow_prm,gsm8k,cluster_sum_gm,500,0.858,0.018,0.84
rlhflow_prm,gsm8k,cluster_majority_weighted_gm,500,0.858,0.018,0.84
rlhflow_prm,gsm8k,cluster_majority_vote,500,0.856,0.016,0.84
internlm2_7b_reward,gsm8k,product,500,0.828,-0.012,0.84
internlm2_7b_reward,gsm8k,gm,500,0.84,0.0,0.84
internlm2_7b_reward,gsm8k,official,500,0.884,0.044,0.84
internlm2_7b_reward,gsm8k,cluster_sum_gm,500,0.858,0.018,0.84
internlm2_7b_reward,gsm8k,cluster_majority_weighted_gm,500,0.858,0.018,0.84
internlm2_7b_reward,gsm8k,cluster_majority_vote,500,0.858,0.018,0.84
internlm2_1_8b_reward,gsm8k,product,500,0.828,-0.012,0.84
internlm2_1_8b_reward,gsm8k,gm,500,0.832,-0.008,0.84
internlm2_1_8b_reward,gsm8k,official,500,0.844,0.004,0.84
internlm2_1_8b_reward,gsm8k,cluster_sum_gm,500,0.86,0.02,0.84
internlm2_1_8b_reward,gsm8k,cluster_majority_weighted_gm,500,0.86,0.02,0.84
internlm2_1_8b_reward,gsm8k,cluster_majority_vote,500,0.858,0.018,0.84
math_shepherd,math500,product,500,0.684,0.04,0.644
math_shepherd,math500,gm,500,0.682,0.038,0.644
math_shepherd,math500,official,500,0.668,0.024,0.644
math_shepherd,math500,cluster_sum_gm,500,0.714,0.07,0.644
math_shepherd,math500,cluster_majority_weighted_gm,500,0.714,0.07,0.644
math_shepherd,math500,cluster_majority_vote,500,0.712,0.068,0.644
skywork_prm,math500,product,500,0.714,0.07,0.644
skywork_prm,math500,gm,500,0.742,0.098,0.644
skywork_prm,math500,official,500,0.744,0.1,0.644
skywork_prm,math500,cluster_sum_gm,500,0.73,0.086,0.644
skywork_prm,math500,cluster_majority_weighted_gm,500,0.73,0.086,0.644
skywork_prm,math500,cluster_majority_vote,500,0.714,0.07,0.644
skywork_prm_1_5b,math500,product,500,0.69,0.046,0.644
skywork_prm_1_5b,math500,gm,500,0.716,0.072,0.644
skywork_prm_1_5b,math500,official,500,0.708,0.064,0.644
skywork_prm_1_5b,math500,cluster_sum_gm,500,0.72,0.076,0.644
skywork_prm_1_5b,math500,cluster_majority_weighted_gm,500,0.72,0.076,0.644
skywork_prm_1_5b,math500,cluster_majority_vote,500,0.712,0.068,0.644
qwen_prm,math500,product,500,0.744,0.1,0.644
qwen_prm,math500,gm,500,0.738,0.094,0.644
qwen_prm,math500,official,500,0.744,0.1,0.644
qwen_prm,math500,cluster_sum_gm,500,0.722,0.078,0.644
qwen_prm,math500,cluster_majority_weighted_gm,500,0.722,0.078,0.644
qwen_prm,math500,cluster_majority_vote,500,0.712,0.068,0.644
rlhflow_prm,math500,product,500,0.692,0.048,0.644
rlhflow_prm,math500,gm,500,0.698,0.054,0.644
rlhflow_prm,math500,official,500,0.696,0.052,0.644
rlhflow_prm,math500,cluster_sum_gm,500,0.71,0.066,0.644
rlhflow_prm,math500,cluster_majority_weighted_gm,500,0.71,0.066,0.644
rlhflow_prm,math500,cluster_majority_vote,500,0.71,0.066,0.644
internlm2_7b_reward,math500,product,500,0.686,0.042,0.644
internlm2_7b_reward,math500,gm,500,0.678,0.034,0.644
internlm2_7b_reward,math500,official,500,0.704,0.06,0.644
internlm2_7b_reward,math500,cluster_sum_gm,500,0.718,0.074,0.644
internlm2_7b_reward,math500,cluster_majority_weighted_gm,500,0.718,0.074,0.644
internlm2_7b_reward,math500,cluster_majority_vote,500,0.714,0.07,0.644
