prm,benchmark,n_attack_base,n_elig_product,n_elig_gm,n_elig_cluster,n_elig_official,Flip_prod,Flip_GM,Flip_cluster,Flip_official,Wrong_prod,Wrong_GM,Wrong_cluster,Wrong_official,Gain_prod,Gain_GM,Gain_cluster,Gain_official,Pass_prod,Pass_GM,Pass_cluster,Pass_official,Stab_Winner,Util_Winner
math_shepherd,gsm8k,332,329,328,325,332,0.1033434650455927,0.039634146341463415,0.04,0.045180722891566265,0.0,0.0,0.0,0.0,0.01,0.008,0.018,0.012,0.85,0.848,0.858,0.852,gm,cluster_sum_gm
skywork_prm,gsm8k,345,337,343,332,343,0.24629080118694363,0.09620991253644315,0.09337349397590361,0.09620991253644315,0.0,0.0,0.0,0.0,0.03,0.048,0.022,0.048,0.87,0.888,0.862,0.888,cluster_sum_gm,gm|official
skywork_prm_1_5b,gsm8k,328,320,325,314,325,0.2375,0.12615384615384614,0.1305732484076433,0.12307692307692308,0.0,0.0,0.0,0.0,0.012,0.032,0.018,0.036,0.852,0.872,0.858,0.876,official,official
qwen_prm,gsm8k,405,401,400,389,401,0.0399002493765586,0.035,0.03598971722365039,0.0399002493765586,0.0,0.0,0.0,0.0,0.054,0.054,0.022,0.054,0.894,0.894,0.862,0.894,gm,product|gm|official
rlhflow_prm,gsm8k,390,386,386,379,386,0.046632124352331605,0.02849740932642487,0.0316622691292876,0.02849740932642487,0.0,0.0,0.0,0.0,0.012,0.016,0.018,0.018,0.852,0.856,0.858,0.858,gm|official,cluster_sum_gm|official
internlm2_7b_reward,gsm8k,397,367,372,375,397,0.16348773841961853,0.06451612903225806,0.06133333333333333,0.017632241813602016,0.0027247956403269754,0.0,0.0,0.0,-0.012,0.0,0.018,0.044,0.828,0.84,0.858,0.884,official,official
internlm2_1_8b_reward,gsm8k,359,338,341,350,359,0.3431952662721893,0.06158357771260997,0.06,0.027855153203342618,0.0,0.0,0.0,0.0,-0.012,-0.008,0.02,0.004,0.828,0.832,0.86,0.844,official,cluster_sum_gm
math_shepherd,math500,289,275,280,279,289,0.2,0.11428571428571428,0.1111111111111111,0.09342560553633218,0.0,0.0,0.0,0.0,0.04,0.038,0.07,0.024,0.684,0.682,0.714,0.668,official,cluster_sum_gm
skywork_prm,math500,284,273,278,274,279,0.18315018315018314,0.09352517985611511,0.09124087591240876,0.0931899641577061,0.0,0.0,0.0,0.0,0.07,0.098,0.086,0.1,0.714,0.742,0.73,0.744,cluster_sum_gm,official
skywork_prm_1_5b,math500,257,249,253,253,253,0.21285140562248997,0.09486166007905138,0.09486166007905138,0.09486166007905138,0.0,0.0,0.0,0.0,0.046,0.072,0.076,0.064,0.69,0.716,0.72,0.708,gm|cluster_sum_gm|official,cluster_sum_gm
qwen_prm,math500,319,317,316,302,317,0.08517350157728706,0.06962025316455696,0.0695364238410596,0.08517350157728706,0.0,0.0,0.0,0.0,0.1,0.094,0.078,0.1,0.744,0.738,0.722,0.744,cluster_sum_gm,product|official
rlhflow_prm,math500,325,306,308,307,308,0.13398692810457516,0.05519480519480519,0.05863192182410423,0.05844155844155844,0.0,0.0,0.0,0.0,0.048,0.054,0.066,0.052,0.692,0.698,0.71,0.696,gm,cluster_sum_gm
internlm2_7b_reward,math500,307,277,279,289,307,0.20577617328519857,0.1039426523297491,0.10380622837370242,0.09446254071661238,0.0,0.0,0.0,0.0,0.042,0.034,0.074,0.06,0.686,0.678,0.718,0.704,official,cluster_sum_gm
internlm2_1_8b_reward,math500,285,258,267,271,285,0.3449612403100775,0.12734082397003746,0.12915129151291513,0.19298245614035087,0.0,0.0,0.0,0.0,0.034,0.036,0.072,0.046,0.678,0.68,0.716,0.69,gm,cluster_sum_gm
