prm,benchmark,cluster_sum_gm_flip,cluster_majority_weighted_gm_flip,cluster_majority_vote_flip,sum_equals_weighted_exactly
math_shepherd,gsm8k,0.04,0.04,0.040123456790123455,1
skywork_prm,gsm8k,0.09337349397590361,0.09337349397590361,0.09090909090909091,1
skywork_prm_1_5b,gsm8k,0.1305732484076433,0.1305732484076433,0.1305732484076433,1
qwen_prm,gsm8k,0.03598971722365039,0.03598971722365039,0.03608247422680412,1
rlhflow_prm,gsm8k,0.0316622691292876,0.0316622691292876,0.031746031746031744,1
internlm2_7b_reward,gsm8k,0.06133333333333333,0.06133333333333333,0.06133333333333333,1
internlm2_1_8b_reward,gsm8k,0.06,0.06,0.06017191977077364,1
math_shepherd,math500,0.1111111111111111,0.1111111111111111,0.11151079136690648,1
skywork_prm,math500,0.09124087591240876,0.09124087591240876,0.09328358208955224,1
skywork_prm_1_5b,math500,0.09486166007905138,0.09486166007905138,0.09561752988047809,1
qwen_prm,math500,0.0695364238410596,0.0695364238410596,0.06375838926174497,1
rlhflow_prm,math500,0.05863192182410423,0.05863192182410423,0.05863192182410423,1
internlm2_7b_reward,math500,0.10380622837370242,0.10380622837370242,0.10452961672473868,1
internlm2_1_8b_reward,math500,0.12915129151291513,0.12915129151291513,0.12962962962962962,1
