prm_name,benchmark,agg_rule,matched_flip_native,matched_flip_rule,delta,delta_ci_lo,delta_ci_hi,n_common
internlm2_1_8b_reward,gsm8k,product,0.027855153203342618,0.32590529247910865,0.298050139275766,0.2479108635097493,0.34818941504178275,359
internlm2_1_8b_reward,gsm8k,gm,0.027855153203342618,0.0584958217270195,0.03064066852367688,0.002785515320334262,0.0584958217270195,359
internlm2_1_8b_reward,gsm8k,min,0.027855153203342618,0.11420612813370473,0.08635097493036212,0.05013927576601671,0.12256267409470752,359
internlm2_1_8b_reward,gsm8k,last,0.027855153203342618,0.027855153203342618,0.0,0.0,0.0,359
internlm2_1_8b_reward,gsm8k,mean_log,0.027855153203342618,0.0584958217270195,0.03064066852367688,0.005571030640668524,0.06128133704735376,359
internlm2_7b_reward,gsm8k,product,0.017632241813602016,0.1561712846347607,0.1385390428211587,0.10075566750629723,0.17380352644836272,397
internlm2_7b_reward,gsm8k,gm,0.017632241813602016,0.0654911838790932,0.04785894206549118,0.022670025188916875,0.07304785894206549,397
internlm2_7b_reward,gsm8k,min,0.017632241813602016,0.0654911838790932,0.04785894206549118,0.020151133501259445,0.07556675062972293,397
internlm2_7b_reward,gsm8k,last,0.017632241813602016,0.017632241813602016,0.0,0.0,0.0,397
internlm2_7b_reward,gsm8k,mean_log,0.017632241813602016,0.0654911838790932,0.04785894206549118,0.015113350125944584,0.07808564231738035,397
math_shepherd,gsm8k,product,0.045180722891566265,0.10240963855421686,0.0572289156626506,0.030120481927710843,0.08433734939759036,332
math_shepherd,gsm8k,gm,0.045180722891566265,0.0391566265060241,-0.006024096385542169,-0.024096385542168676,0.015060240963855422,332
math_shepherd,gsm8k,min,0.045180722891566265,0.045180722891566265,0.0,0.0,0.0,332
math_shepherd,gsm8k,last,0.045180722891566265,0.04819277108433735,0.0030120481927710845,-0.024096385542168676,0.02710843373493976,332
math_shepherd,gsm8k,mean_log,0.045180722891566265,0.0391566265060241,-0.006024096385542169,-0.02710843373493976,0.015060240963855422,332
qwen_prm,gsm8k,product,0.014814814814814815,0.03950617283950617,0.024691358024691357,0.009876543209876543,0.04197530864197531,405
qwen_prm,gsm8k,gm,0.014814814814814815,0.03209876543209877,0.01728395061728395,0.0049382716049382715,0.03209876543209877,405
qwen_prm,gsm8k,min,0.014814814814814815,0.014814814814814815,0.0,0.0,0.0,405
qwen_prm,gsm8k,last,0.014814814814814815,0.0049382716049382715,-0.009876543209876543,-0.024691358024691357,0.0049382716049382715,405
qwen_prm,gsm8k,mean_log,0.014814814814814815,0.03209876543209877,0.01728395061728395,0.0049382716049382715,0.02962962962962963,405
rlhflow_prm,gsm8k,product,0.01282051282051282,0.04358974358974359,0.03076923076923077,0.01282051282051282,0.05128205128205128,390
rlhflow_prm,gsm8k,gm,0.01282051282051282,0.028205128205128206,0.015384615384615385,-0.002564102564102564,0.03333333333333333,390
rlhflow_prm,gsm8k,min,0.01282051282051282,0.01282051282051282,0.0,0.0,0.0,390
rlhflow_prm,gsm8k,last,0.01282051282051282,0.010256410256410256,-0.002564102564102564,-0.01282051282051282,0.007692307692307693,390
rlhflow_prm,gsm8k,mean_log,0.01282051282051282,0.028205128205128206,0.015384615384615385,-0.005128205128205128,0.03333333333333333,390
skywork_prm,gsm8k,product,0.08115942028985507,0.24057971014492754,0.15942028985507245,0.11594202898550725,0.2028985507246377,345
skywork_prm,gsm8k,gm,0.08115942028985507,0.09565217391304348,0.014492753623188406,-0.011594202898550725,0.043478260869565216,345
skywork_prm,gsm8k,min,0.08115942028985507,0.08115942028985507,0.0,0.0,0.0,345
skywork_prm,gsm8k,last,0.08115942028985507,0.02318840579710145,-0.057971014492753624,-0.08985507246376812,-0.02608695652173913,345
skywork_prm,gsm8k,mean_log,0.08115942028985507,0.09565217391304348,0.014492753623188406,-0.014492753623188406,0.043478260869565216,345
skywork_prm_1_5b,gsm8k,product,0.09451219512195122,0.21951219512195122,0.125,0.08536585365853659,0.16463414634146342,328
skywork_prm_1_5b,gsm8k,gm,0.09451219512195122,0.11585365853658537,0.021341463414634148,-0.009146341463414634,0.054878048780487805,328
skywork_prm_1_5b,gsm8k,min,0.09451219512195122,0.09451219512195122,0.0,0.0,0.0,328
skywork_prm_1_5b,gsm8k,last,0.09451219512195122,0.036585365853658534,-0.057926829268292686,-0.09451219512195122,-0.021341463414634148,328
skywork_prm_1_5b,gsm8k,mean_log,0.09451219512195122,0.11585365853658537,0.021341463414634148,-0.006097560975609756,0.04878048780487805,328
internlm2_1_8b_reward,math500,product,0.19298245614035087,0.312280701754386,0.11929824561403508,0.056140350877192984,0.1824561403508772,285
internlm2_1_8b_reward,math500,gm,0.19298245614035087,0.13333333333333333,-0.05964912280701754,-0.11228070175438597,-0.010526315789473684,285
internlm2_1_8b_reward,math500,min,0.19298245614035087,0.10175438596491228,-0.0912280701754386,-0.14385964912280702,-0.042105263157894736,285
internlm2_1_8b_reward,math500,last,0.19298245614035087,0.19298245614035087,0.0,0.0,0.0,285
internlm2_1_8b_reward,math500,mean_log,0.19298245614035087,0.13333333333333333,-0.05964912280701754,-0.10877192982456141,-0.010526315789473684,285
internlm2_7b_reward,math500,product,0.09446254071661238,0.20195439739413681,0.10749185667752444,0.05863192182410423,0.15960912052117263,307
internlm2_7b_reward,math500,gm,0.09446254071661238,0.09771986970684039,0.003257328990228013,-0.04234527687296417,0.04234527687296417,307
internlm2_7b_reward,math500,min,0.09446254071661238,0.0781758957654723,-0.016286644951140065,-0.06188925081433225,0.02280130293159609,307
internlm2_7b_reward,math500,last,0.09446254071661238,0.09446254071661238,0.0,0.0,0.0,307
internlm2_7b_reward,math500,mean_log,0.09446254071661238,0.09771986970684039,0.003257328990228013,-0.03908794788273615,0.04234527687296417,307
math_shepherd,math500,product,0.09342560553633218,0.19377162629757785,0.10034602076124567,0.05536332179930796,0.14878892733564014,289
math_shepherd,math500,gm,0.09342560553633218,0.11072664359861592,0.01730103806228374,-0.0034602076124567475,0.04152249134948097,289
math_shepherd,math500,min,0.09342560553633218,0.09342560553633218,0.0,0.0,0.0,289
math_shepherd,math500,last,0.09342560553633218,0.06920415224913495,-0.02422145328719723,-0.058823529411764705,0.010380622837370242,289
math_shepherd,math500,mean_log,0.09342560553633218,0.11072664359861592,0.01730103806228374,-0.0034602076124567475,0.04152249134948097,289
qwen_prm,math500,product,0.03761755485893417,0.08150470219435736,0.0438871473354232,0.018808777429467086,0.07523510971786834,319
qwen_prm,math500,gm,0.03761755485893417,0.06896551724137931,0.03134796238244514,0.003134796238244514,0.05956112852664577,319
qwen_prm,math500,min,0.03761755485893417,0.03761755485893417,0.0,0.0,0.0,319
qwen_prm,math500,last,0.03761755485893417,0.0,-0.03761755485893417,-0.05956112852664577,-0.018808777429467086,319
qwen_prm,math500,mean_log,0.03761755485893417,0.06896551724137931,0.03134796238244514,0.003134796238244514,0.05642633228840126,319
rlhflow_prm,math500,product,0.04,0.12615384615384614,0.08615384615384615,0.052307692307692305,0.12,325
rlhflow_prm,math500,gm,0.04,0.052307692307692305,0.012307692307692308,-0.012307692307692308,0.036923076923076927,325
rlhflow_prm,math500,min,0.04,0.04,0.0,0.0,0.0,325
rlhflow_prm,math500,last,0.04,0.033846153846153845,-0.006153846153846154,-0.036923076923076927,0.021538461538461538,325
rlhflow_prm,math500,mean_log,0.04,0.052307692307692305,0.012307692307692308,-0.012307692307692308,0.036923076923076927,325
skywork_prm,math500,product,0.10211267605633803,0.18309859154929578,0.08098591549295775,0.03873239436619718,0.13028169014084506,284
skywork_prm,math500,gm,0.10211267605633803,0.09859154929577464,-0.0035211267605633804,-0.04225352112676056,0.035211267605633804,284
skywork_prm,math500,min,0.10211267605633803,0.10211267605633803,0.0,0.0,0.0,284
skywork_prm,math500,last,0.10211267605633803,0.0528169014084507,-0.04929577464788732,-0.09154929577464789,-0.007042253521126761,284
skywork_prm,math500,mean_log,0.10211267605633803,0.09859154929577464,-0.0035211267605633804,-0.03873239436619718,0.03169014084507042,284
skywork_prm_1_5b,math500,product,0.14007782101167315,0.21011673151750973,0.07003891050583658,0.019455252918287938,0.12062256809338522,257
skywork_prm_1_5b,math500,gm,0.14007782101167315,0.08949416342412451,-0.05058365758754864,-0.08949416342412451,-0.011673151750972763,257
skywork_prm_1_5b,math500,min,0.14007782101167315,0.14007782101167315,0.0,0.0,0.0,257
skywork_prm_1_5b,math500,last,0.14007782101167315,0.04669260700389105,-0.0933852140077821,-0.13618677042801555,-0.05058365758754864,257
skywork_prm_1_5b,math500,mean_log,0.14007782101167315,0.08949416342412451,-0.05058365758754864,-0.0933852140077821,-0.007782101167315175,257
