prm,benchmark,matched_flip_product,matched_flip_mean,delta_product_mean,ci_lo,ci_hi,n,ci_excludes_zero
internlm2_1_8b_reward,gsm8k,0.32590529247910865,0.07520891364902507,0.25069637883008355,0.20334261838440112,0.3008356545961003,359,1
internlm2_7b_reward,gsm8k,0.1561712846347607,0.060453400503778336,0.09571788413098237,0.0654911838790932,0.12846347607052896,397,1
math_shepherd,gsm8k,0.10240963855421686,0.045180722891566265,0.0572289156626506,0.03313253012048193,0.08734939759036145,332,1
qwen_prm,gsm8k,0.03950617283950617,0.03209876543209877,0.007407407407407408,-0.009876543209876543,0.022222222222222223,405,0
rlhflow_prm,gsm8k,0.04358974358974359,0.028205128205128206,0.015384615384615385,-0.007692307692307693,0.038461538461538464,390,0
skywork_prm,gsm8k,0.24057971014492754,0.09565217391304348,0.14492753623188406,0.10144927536231885,0.19130434782608696,345,1
skywork_prm_1_5b,gsm8k,0.21951219512195122,0.11280487804878049,0.10670731707317073,0.06707317073170732,0.14939024390243902,328,1
internlm2_1_8b_reward,math500,0.312280701754386,0.17543859649122806,0.1368421052631579,0.08771929824561403,0.18596491228070175,285,1
internlm2_7b_reward,math500,0.20195439739413681,0.10423452768729642,0.09771986970684039,0.05537459283387622,0.14332247557003258,307,1
math_shepherd,math500,0.19377162629757785,0.11072664359861592,0.08304498269896193,0.03806228373702422,0.12802768166089964,289,1
qwen_prm,math500,0.08150470219435736,0.06583072100313479,0.01567398119122257,-0.012539184952978056,0.047021943573667714,319,0
rlhflow_prm,math500,0.12615384615384614,0.055384615384615386,0.07076923076923076,0.033846153846153845,0.11076923076923077,325,1
skywork_prm,math500,0.18309859154929578,0.09859154929577464,0.08450704225352113,0.03873239436619718,0.13028169014084506,284,1
skywork_prm_1_5b,math500,0.21011673151750973,0.08949416342412451,0.12062256809338522,0.07003891050583658,0.16731517509727625,257,1
