prm,benchmark,matched_flip_product,matched_flip_gm,delta,ci_lo,ci_hi,n,ci_excludes_zero
internlm2_1_8b_reward,gsm8k,0.32590529247910865,0.0584958217270195,0.26740947075208915,0.2200557103064067,0.31754874651810583,359,1
internlm2_7b_reward,gsm8k,0.1561712846347607,0.0654911838790932,0.0906801007556675,0.060453400503778336,0.12342569269521411,397,1
math_shepherd,gsm8k,0.10240963855421686,0.0391566265060241,0.06325301204819277,0.0391566265060241,0.09337349397590361,332,1
qwen_prm,gsm8k,0.03950617283950617,0.03209876543209877,0.007407407407407408,-0.007407407407407408,0.022222222222222223,405,0
rlhflow_prm,gsm8k,0.04358974358974359,0.028205128205128206,0.015384615384615385,-0.007692307692307693,0.038461538461538464,390,0
skywork_prm,gsm8k,0.24057971014492754,0.09565217391304348,0.14492753623188406,0.10144927536231885,0.19130434782608696,345,1
skywork_prm_1_5b,gsm8k,0.21951219512195122,0.11585365853658537,0.10365853658536585,0.06402439024390244,0.14329268292682926,328,1
internlm2_1_8b_reward,math500,0.312280701754386,0.13333333333333333,0.17894736842105263,0.12982456140350876,0.23157894736842105,285,1
internlm2_7b_reward,math500,0.20195439739413681,0.09771986970684039,0.10423452768729642,0.06188925081433225,0.1498371335504886,307,1
math_shepherd,math500,0.19377162629757785,0.11072664359861592,0.08304498269896193,0.03806228373702422,0.12802768166089964,289,1
qwen_prm,math500,0.08150470219435736,0.06896551724137931,0.012539184952978056,-0.01567398119122257,0.04075235109717868,319,0
rlhflow_prm,math500,0.12615384615384614,0.052307692307692305,0.07384615384615385,0.036923076923076927,0.11384615384615385,325,1
skywork_prm,math500,0.18309859154929578,0.09859154929577464,0.08450704225352113,0.03873239436619718,0.13028169014084506,284,1
skywork_prm_1_5b,math500,0.21011673151750973,0.08949416342412451,0.12062256809338522,0.07392996108949416,0.16731517509727625,257,1
