prm,benchmark,flip_product,flip_gm,flip_min,flip_last,delta_prod_gm,ci_lo_gm,ci_hi_gm,delta_prod_min,ci_lo_min,ci_hi_min,delta_prod_last,ci_lo_last,ci_hi_last,n
internlm2_1_8b_reward,gsm8k,0.32590529247910865,0.0584958217270195,0.11420612813370473,0.027855153203342618,0.26740947075208915,0.2200557103064067,0.31754874651810583,0.2116991643454039,0.1615598885793872,0.2618384401114206,0.298050139275766,0.25069637883008355,0.34540389972144847,359
internlm2_7b_reward,gsm8k,0.1561712846347607,0.0654911838790932,0.0654911838790932,0.017632241813602016,0.0906801007556675,0.060453400503778336,0.12342569269521411,0.0906801007556675,0.05793450881612091,0.12594458438287154,0.1385390428211587,0.10075566750629723,0.17884130982367757,397
math_shepherd,gsm8k,0.10240963855421686,0.0391566265060241,0.045180722891566265,0.04819277108433735,0.06325301204819277,0.0391566265060241,0.0963855421686747,0.0572289156626506,0.030120481927710843,0.08734939759036145,0.05421686746987952,0.02108433734939759,0.09036144578313253,332
qwen_prm,gsm8k,0.03950617283950617,0.03209876543209877,0.014814814814814815,0.0049382716049382715,0.007407407407407408,-0.007407407407407408,0.024691358024691357,0.024691358024691357,0.009876543209876543,0.03950617283950617,0.0345679012345679,0.014814814814814815,0.05432098765432099,405
rlhflow_prm,gsm8k,0.04358974358974359,0.028205128205128206,0.01282051282051282,0.010256410256410256,0.015384615384615385,-0.007692307692307693,0.041025641025641026,0.03076923076923077,0.01282051282051282,0.05128205128205128,0.03333333333333333,0.01282051282051282,0.05384615384615385,390
skywork_prm,gsm8k,0.24057971014492754,0.09565217391304348,0.08115942028985507,0.02318840579710145,0.14492753623188406,0.10144927536231885,0.19130434782608696,0.15942028985507245,0.11594202898550725,0.20579710144927535,0.21739130434782608,0.17101449275362318,0.263768115942029,345
skywork_prm_1_5b,gsm8k,0.21951219512195122,0.11585365853658537,0.09451219512195122,0.036585365853658534,0.10365853658536585,0.06707317073170732,0.14634146341463414,0.125,0.08536585365853659,0.1676829268292683,0.18292682926829268,0.13109756097560976,0.22560975609756098,328
internlm2_1_8b_reward,math500,0.312280701754386,0.13333333333333333,0.10175438596491228,0.19298245614035087,0.17894736842105263,0.12982456140350876,0.22807017543859648,0.21052631578947367,0.15789473684210525,0.26666666666666666,0.11929824561403508,0.056140350877192984,0.18947368421052632,285
internlm2_7b_reward,math500,0.20195439739413681,0.09771986970684039,0.0781758957654723,0.09446254071661238,0.10423452768729642,0.06188925081433225,0.1498371335504886,0.1237785016286645,0.08143322475570032,0.16938110749185667,0.10749185667752444,0.05863192182410423,0.15960912052117263,307
math_shepherd,math500,0.19377162629757785,0.11072664359861592,0.09342560553633218,0.06920415224913495,0.08304498269896193,0.04152249134948097,0.12802768166089964,0.10034602076124567,0.05536332179930796,0.1453287197231834,0.1245674740484429,0.07612456747404844,0.1695501730103806,289
qwen_prm,math500,0.08150470219435736,0.06896551724137931,0.03761755485893417,0.0,0.012539184952978056,-0.01567398119122257,0.04075235109717868,0.0438871473354232,0.01567398119122257,0.07210031347962383,0.08150470219435736,0.05329153605015674,0.109717868338558,319
rlhflow_prm,math500,0.12615384615384614,0.052307692307692305,0.04,0.033846153846153845,0.07384615384615385,0.036923076923076927,0.11076923076923077,0.08615384615384615,0.04923076923076923,0.12,0.09230769230769231,0.055384615384615386,0.13230769230769232,325
skywork_prm,math500,0.18309859154929578,0.09859154929577464,0.10211267605633803,0.0528169014084507,0.08450704225352113,0.04225352112676056,0.13028169014084506,0.08098591549295775,0.03873239436619718,0.1267605633802817,0.13028169014084506,0.08098591549295775,0.1795774647887324,284
skywork_prm_1_5b,math500,0.21011673151750973,0.08949416342412451,0.14007782101167315,0.04669260700389105,0.12062256809338522,0.07003891050583658,0.17509727626459143,0.07003891050583658,0.019455252918287938,0.12062256809338522,0.16342412451361868,0.10894941634241245,0.2178988326848249,257
