prm,benchmark,n_eligible,apr_necessary_null,apr_inert_null,delta_ni_null,null_ci_lo,null_ci_hi,apr_necessary_observed,apr_inert_observed,delta_ni_observed,obs_ci_lo,obs_ci_hi,delta_observed_minus_null,mean_deleted_step_score_nec,mean_deleted_step_score_inert
internlm2_1_8b_reward,gsm8k,148,1.0,1.0,0.0,0.0,0.0,0.6216216216216216,0.9324324324324325,-0.3108108108108108,-0.3918918918918919,-0.22972972972972974,-0.3108108108108108,0.344682983037749,0.28123735254630067
internlm2_7b_reward,gsm8k,148,1.0,1.0,0.0,0.0,0.0,0.42567567567567566,0.918918918918919,-0.49324324324324326,-0.5878378378378378,-0.40540540540540543,-0.49324324324324326,0.5477724081809217,0.5281491830699773
math_shepherd,gsm8k,148,1.0,1.0,0.0,0.0,0.0,0.30405405405405406,0.7837837837837838,-0.4797297297297297,-0.5743243243243243,-0.38513513513513514,-0.4797297297297297,0.911159206081081,0.9061213312922297
qwen_prm,gsm8k,148,0.5878378378378378,0.7702702702702703,-0.18243243243243243,-0.2635135135135135,-0.08783783783783784,0.07432432432432433,0.38513513513513514,-0.3108108108108108,-0.39864864864864863,-0.22297297297297297,-0.12837837837837837,0.9935310982369088,0.9870972504486909
rlhflow_prm,gsm8k,148,0.9662162162162162,0.9932432432432432,-0.02702702702702703,-0.05405405405405406,0.0,0.0945945945945946,0.2905405405405405,-0.19594594594594594,-0.2702702702702703,-0.11486486486486487,-0.16891891891891891,0.9882878483952703,0.9931739600929054
skywork_prm,gsm8k,148,1.0,1.0,0.0,0.0,0.0,0.36486486486486486,0.7567567567567568,-0.3918918918918919,-0.4864864864864865,-0.27702702702702703,-0.3918918918918919,0.7947800095016891,0.80426025390625
skywork_prm_1_5b,gsm8k,148,1.0,1.0,0.0,0.0,0.0,0.43243243243243246,0.8040540540540541,-0.3716216216216216,-0.47297297297297297,-0.2702702702702703,-0.3716216216216216,0.760997875316723,0.7719008987014359
internlm2_1_8b_reward,math500,122,1.0,1.0,0.0,0.0,0.0,0.7704918032786885,0.9098360655737705,-0.13934426229508196,-0.22950819672131148,-0.05737704918032787,-0.13934426229508196,0.32310409729972495,0.27237692052781853
internlm2_7b_reward,math500,122,1.0,1.0,0.0,0.0,0.0,0.5081967213114754,0.8278688524590164,-0.319672131147541,-0.4262295081967213,-0.20491803278688525,-0.319672131147541,0.5959513345435703,0.6375610638200588
math_shepherd,math500,122,1.0,1.0,0.0,0.0,0.0,0.36885245901639346,0.7704918032786885,-0.4016393442622951,-0.5,-0.30327868852459017,-0.4016393442622951,0.8604676293545082,0.8615082287397541
qwen_prm,math500,122,0.5409836065573771,0.7049180327868853,-0.16393442622950818,-0.27049180327868855,-0.06557377049180328,0.10655737704918032,0.3524590163934426,-0.2459016393442623,-0.3524590163934426,-0.1557377049180328,-0.0819672131147541,0.9797133148693647,0.9800805263831968
rlhflow_prm,math500,122,1.0,1.0,0.0,0.0,0.0,0.2459016393442623,0.36885245901639346,-0.12295081967213115,-0.22950819672131148,-0.01639344262295082,-0.12295081967213115,0.9431672643442623,0.9494548860143442
skywork_prm,math500,122,1.0,1.0,0.0,0.0,0.0,0.39344262295081966,0.7213114754098361,-0.32786885245901637,-0.4426229508196721,-0.20491803278688525,-0.32786885245901637,0.7860537669697746,0.8374688820760758
skywork_prm_1_5b,math500,122,1.0,1.0,0.0,0.0,0.0,0.38524590163934425,0.8032786885245902,-0.4180327868852459,-0.5081967213114754,-0.32786885245901637,-0.4180327868852459,0.7417132268186475,0.7646619452804816
