method,prm,benchmark,seed,n_nec,n_inert,apr_nec,apr_inert,delta_ni,ci_lo,ci_hi,non_positive,ci_non_positive
multiseed_200,internlm2_1_8b_reward,gsm8k,42,200,200,0.650000,0.970000,-0.320000,-0.395000,-0.250000,1,1
multiseed_200,internlm2_1_8b_reward,gsm8k,123,200,200,0.630000,0.970000,-0.340000,-0.420000,-0.270000,1,1
multiseed_200,internlm2_1_8b_reward,gsm8k,456,200,200,0.635000,0.945000,-0.310000,-0.385000,-0.240000,1,1
multiseed_200,internlm2_1_8b_reward,gsm8k,789,200,200,0.620000,0.940000,-0.320000,-0.405000,-0.245000,1,1
multiseed_200,internlm2_1_8b_reward,gsm8k,1024,200,200,0.630000,0.960000,-0.330000,-0.405000,-0.260000,1,1
multiseed_200,internlm2_7b_reward,gsm8k,42,200,200,0.450000,0.895000,-0.445000,-0.525000,-0.365000,1,1
multiseed_200,internlm2_7b_reward,gsm8k,123,200,200,0.540000,0.920000,-0.380000,-0.455000,-0.295000,1,1
multiseed_200,internlm2_7b_reward,gsm8k,456,200,200,0.490000,0.890000,-0.400000,-0.485000,-0.315000,1,1
multiseed_200,internlm2_7b_reward,gsm8k,789,200,200,0.535000,0.925000,-0.390000,-0.465000,-0.310000,1,1
multiseed_200,internlm2_7b_reward,gsm8k,1024,200,200,0.520000,0.940000,-0.420000,-0.495000,-0.350000,1,1
multiseed_200,math_shepherd,gsm8k,42,200,200,0.290000,0.700000,-0.410000,-0.495000,-0.320000,1,1
multiseed_200,math_shepherd,gsm8k,123,200,200,0.350000,0.795000,-0.445000,-0.525000,-0.355000,1,1
multiseed_200,math_shepherd,gsm8k,456,200,200,0.320000,0.720000,-0.400000,-0.490000,-0.310000,1,1
multiseed_200,math_shepherd,gsm8k,789,200,200,0.315000,0.735000,-0.420000,-0.510000,-0.325000,1,1
multiseed_200,math_shepherd,gsm8k,1024,200,200,0.330000,0.800000,-0.470000,-0.555000,-0.390000,1,1
multiseed_200,qwen_prm,gsm8k,42,200,200,0.075000,0.330000,-0.255000,-0.330000,-0.180000,1,1
