prm,benchmark,n_answer_preserved,delta_ni_raw,raw_ci_lo,raw_ci_hi,n_matched,delta_ni_matched,matched_ci_lo,matched_ci_hi
internlm2_1_8b_reward,gsm8k,200,-0.16,-0.225,-0.095,177,-0.1751412429378531,-0.24293785310734464,-0.1128531073446329
internlm2_7b_reward,gsm8k,200,-0.255,-0.320125,-0.185,190,-0.2631578947368421,-0.34210526315789475,-0.18947368421052632
math_shepherd,gsm8k,200,-0.41,-0.5,-0.325,194,-0.4175257731958763,-0.5051546391752577,-0.31958762886597936
qwen_prm,gsm8k,200,-0.335,-0.42,-0.245,199,-0.3316582914572864,-0.41708542713567837,-0.2561557788944725
rlhflow_prm,gsm8k,200,-0.31,-0.4,-0.22,198,-0.30303030303030304,-0.3838383838383838,-0.21212121212121213
skywork_prm,gsm8k,200,-0.365,-0.45,-0.285,180,-0.3277777777777778,-0.4222222222222222,-0.24444444444444444
skywork_prm_1_5b,gsm8k,200,-0.395,-0.47,-0.32,187,-0.4117647058823529,-0.4919786096256685,-0.32085561497326204
internlm2_1_8b_reward,math500,200,-0.09,-0.145,-0.04,145,-0.05517241379310345,-0.11724137931034483,0.0
internlm2_7b_reward,math500,200,-0.34,-0.42,-0.25,180,-0.3611111111111111,-0.4444444444444444,-0.2777777777777778
math_shepherd,math500,200,-0.325,-0.415,-0.225,198,-0.3282828282828283,-0.41919191919191917,-0.24229797979797993
qwen_prm,math500,200,-0.145,-0.22,-0.07,199,-0.1457286432160804,-0.21105527638190955,-0.08040201005025126
rlhflow_prm,math500,200,-0.305,-0.385,-0.225,183,-0.2568306010928962,-0.34439890710382515,-0.17486338797814208
skywork_prm,math500,200,-0.29,-0.38,-0.2,195,-0.2923076923076923,-0.38461538461538464,-0.19487179487179487
skywork_prm_1_5b,math500,200,-0.34,-0.43,-0.245,190,-0.3631578947368421,-0.4473684210526316,-0.2789473684210526
