prm,benchmark,deletion_type,mean_delta_mech,mean_delta_ctx,pr_ctx_negative,n
internlm2_1_8b_reward,gsm8k,inert,1.235109639656436,-0.19602494916323226,0.72,200
internlm2_1_8b_reward,gsm8k,necessary,1.1614328072621989,-0.63376852110224,0.87,200
internlm2_7b_reward,gsm8k,inert,0.7690833394770676,-0.235085429337563,0.795,200
internlm2_7b_reward,gsm8k,necessary,0.7469845919686287,-0.5615439231484107,0.905,200
math_shepherd,gsm8k,inert,0.15434988485729215,-0.1031297957162941,0.505,200
math_shepherd,gsm8k,necessary,0.1375617486246599,-0.4018080644264912,0.845,200
qwen_prm,gsm8k,inert,0.01759726280640403,-0.10730878499104884,0.76,200
qwen_prm,gsm8k,necessary,0.0061747085345156905,-0.6059775628468193,0.95,200
rlhflow_prm,gsm8k,inert,0.009984633431536834,-0.03871099036458799,0.765,200
rlhflow_prm,gsm8k,necessary,0.011032353130612427,-0.1487005457178394,0.95,200
skywork_prm,gsm8k,inert,0.35240912930873897,-0.22767571639606557,0.7,200
skywork_prm,gsm8k,necessary,0.2731784791325797,-0.7961317841873659,0.905,200
skywork_prm_1_5b,gsm8k,inert,0.4548282899710284,-0.15316284649476977,0.635,200
skywork_prm_1_5b,gsm8k,necessary,0.3920140095574562,-0.7239487338072911,0.86,200
internlm2_1_8b_reward,math500,inert,1.422020973670924,-0.1746813591920913,0.63,200
internlm2_1_8b_reward,math500,necessary,1.0780630962444002,-0.3620423976833132,0.785,200
internlm2_7b_reward,math500,inert,0.5432508593576268,-0.2254983015660968,0.715,200
internlm2_7b_reward,math500,necessary,0.44313572712980126,-0.5950183524952198,0.83,200
math_shepherd,math500,inert,0.15777599201192036,-0.11496328289372401,0.64,200
math_shepherd,math500,necessary,0.1562153946997512,-0.5301880186863311,0.765,200
qwen_prm,math500,inert,0.009701719749956803,-0.03854521346162989,0.775,200
qwen_prm,math500,necessary,0.008069845031028092,-0.2851279953375671,0.905,200
rlhflow_prm,math500,inert,0.14584135005640614,-0.11149288627857334,0.94,200
rlhflow_prm,math500,necessary,0.04087110495158271,-0.2229870629599087,0.98,200
skywork_prm,math500,inert,0.21685678905770292,-0.22112885962835807,0.71,200
skywork_prm,math500,necessary,0.21211132272309693,-0.962632691001869,0.87,200
skywork_prm_1_5b,math500,inert,0.3291691587890574,-0.23933171409068624,0.72,200
skywork_prm_1_5b,math500,necessary,0.2841739024923042,-1.3439207836411016,0.9,200
