prm,benchmark,coef_deletion_type,ci_lo,ci_hi,p_value
internlm2_1_8b_reward,gsm8k,1.8485370683346218,0.9953793192964614,2.701694817372782,2.1698630178763655e-05
internlm2_7b_reward,gsm8k,2.136023284455396,1.4663541302362928,2.805692438674499,4.06171624554756e-10
math_shepherd,gsm8k,2.0405214685359288,1.5444746391296493,2.536568297942208,7.478548238633046e-16
qwen_prm,gsm8k,2.1340331796658965,1.5481665353592797,2.719899823972513,9.386514086157643e-13
rlhflow_prm,gsm8k,1.7299456049295976,1.2213316220332355,2.23855958782596,2.621302071474066e-11
skywork_prm,gsm8k,1.684414087470818,1.209977865592811,2.158850309348825,3.437784591490319e-12
skywork_prm_1_5b,gsm8k,2.4754636642087338,1.870231209456448,3.0806961189610194,1.0883947518935613e-15
internlm2_1_8b_reward,math500,0.5247450674354092,-0.36512650898138854,1.4146166438522068,0.24777774765657368
internlm2_7b_reward,math500,1.8218605031500221,1.2705667106111682,2.373154295688876,9.350678255598017e-11
math_shepherd,math500,1.5405349401805581,1.0764943894531545,2.004575490907962,7.679719613098938e-11
qwen_prm,math500,1.3340284187594844,0.683543239254494,1.9845135982644748,5.831322955504701e-05
rlhflow_prm,math500,1.4342634966843966,0.9176966977401855,1.9508302956286077,5.271530432647843e-08
skywork_prm,math500,1.2804089619348054,0.839438899597863,1.7213790242717477,1.2630618780490876e-08
skywork_prm_1_5b,math500,1.530772815095599,1.0745660310821326,1.9869795991090655,4.815397928739966e-11
