prm,benchmark,n_matched,delta_ni_raw,delta_ni_matched,ci_lo,ci_hi
internlm2_1_8b_reward,gsm8k,177,-0.15999999999999992,-0.17514124293785316,-0.24293785310734464,-0.1128531073446329
internlm2_7b_reward,gsm8k,190,-0.255,-0.26315789473684204,-0.34210526315789475,-0.18947368421052632
math_shepherd,gsm8k,194,-0.4099999999999999,-0.4175257731958763,-0.5051546391752577,-0.31958762886597936
qwen_prm,gsm8k,199,-0.335,-0.3316582914572864,-0.41708542713567837,-0.2561557788944725
rlhflow_prm,gsm8k,198,-0.31000000000000005,-0.30303030303030304,-0.3838383838383838,-0.21212121212121213
skywork_prm,gsm8k,180,-0.36500000000000005,-0.32777777777777783,-0.4222222222222222,-0.24444444444444444
skywork_prm_1_5b,gsm8k,187,-0.395,-0.41176470588235287,-0.4919786096256685,-0.32085561497326204
internlm2_1_8b_reward,math500,145,-0.08999999999999997,-0.05517241379310345,-0.11724137931034483,0.0
internlm2_7b_reward,math500,180,-0.33999999999999997,-0.36111111111111105,-0.4444444444444444,-0.2777777777777778
math_shepherd,math500,198,-0.32499999999999996,-0.32828282828282834,-0.41919191919191917,-0.24229797979797993
qwen_prm,math500,199,-0.14500000000000002,-0.1457286432160804,-0.21105527638190955,-0.08040201005025126
rlhflow_prm,math500,183,-0.30500000000000005,-0.2568306010928962,-0.34439890710382515,-0.17486338797814208
skywork_prm,math500,195,-0.29,-0.29230769230769227,-0.38461538461538464,-0.19487179487179487
skywork_prm_1_5b,math500,190,-0.34,-0.3631578947368421,-0.4473684210526316,-0.2789473684210526
