prm,benchmark,prm_display,benchmark_display,n_total,disagree_pg_rate,both_correct_pg_rate_total,both_correct_pg_rate_given_disagree,both_wrong_pg_rate_given_disagree,mixed_pg_rate_given_disagree,product_shorter_chars_pg,product_shorter_steps_pg,shorter_and_wrong_pg_rate_total,disagree_pn_rate,both_correct_pn_rate_total,both_correct_pn_rate_given_disagree,both_wrong_pn_rate_given_disagree,mixed_pn_rate_given_disagree,product_shorter_chars_pn,product_shorter_steps_pn,shorter_and_wrong_pn_rate_total
internlm2_1_8b_reward,gsm8k,InternLM2-1.8B,GSM8K,500,0.446,0.342,0.7668161434977578,0.14349775784753363,0.08968609865470852,0.623318,1.0,0.014,0.778,0.608,0.781491002570694,0.12596401028277635,0.09254498714652956,0.624679,0.632391,0.03
internlm2_7b_reward,gsm8k,InternLM2-7B,GSM8K,500,0.338,0.258,0.7633136094674556,0.1301775147928994,0.10650887573964497,0.656805,1.0,0.018,0.842,0.68,0.8076009501187649,0.09738717339667459,0.09501187648456057,0.638955,0.650831,0.042
math_shepherd,gsm8k,Math-Shepherd,GSM8K,500,0.336,0.262,0.7797619047619048,0.14285714285714285,0.07738095238095238,0.529762,1.0,0.006,0.452,0.378,0.8362831858407079,0.12389380530973451,0.03982300884955752,0.557522,0.59292,0.006
qwen_prm,gsm8k,Qwen,GSM8K,500,0.242,0.214,0.8842975206611571,0.06611570247933884,0.049586776859504134,0.628099,1.0,0.006,0.334,0.298,0.8922155688622755,0.041916167664670656,0.0658682634730539,0.57485,0.42515,0.008
rlhflow_prm,gsm8k,RLHFlow,GSM8K,500,0.32,0.272,0.85,0.0875,0.0625,0.68125,1.0,0.006,0.4,0.34,0.85,0.11,0.04,0.69,0.505,0.004
skywork_prm,gsm8k,Skywork-7B,GSM8K,500,0.4,0.324,0.81,0.105,0.085,0.52,1.0,0.016,0.584,0.478,0.8184931506849316,0.1267123287671233,0.0547945205479452,0.486301,0.623288,0.014
skywork_prm_1_5b,gsm8k,Skywork-1.5B,GSM8K,500,0.346,0.266,0.7687861271676301,0.16184971098265896,0.06936416184971098,0.531792,1.0,0.018,0.566,0.454,0.8021201413427562,0.13780918727915195,0.06007067137809187,0.537102,0.600707,0.012
internlm2_1_8b_reward,math500,InternLM2-1.8B,MATH-500,500,0.534,0.316,0.5917602996254682,0.29213483146067415,0.11610486891385768,0.58427,1.0,0.014,0.768,0.476,0.6197916666666666,0.25,0.13020833333333334,0.528646,0.716146,0.032
internlm2_7b_reward,math500,InternLM2-7B,MATH-500,500,0.494,0.308,0.6234817813765182,0.24696356275303644,0.12955465587044535,0.582996,1.0,0.012,0.822,0.522,0.635036496350365,0.2360097323600973,0.12895377128953772,0.513382,0.739659,0.032
math_shepherd,math500,Math-Shepherd,MATH-500,500,0.606,0.35,0.5775577557755776,0.29372937293729373,0.12871287128712872,0.49835,1.0,0.018,0.608,0.358,0.5888157894736842,0.28618421052631576,0.125,0.529605,0.865132,0.012
qwen_prm,math500,Qwen,MATH-500,500,0.432,0.298,0.6898148148148148,0.25,0.06018518518518518,0.625,1.0,0.004,0.336,0.244,0.7261904761904762,0.23214285714285715,0.041666666666666664,0.535714,0.613095,0.0
rlhflow_prm,math500,RLHFlow,MATH-500,500,0.794,0.494,0.6221662468513854,0.2695214105793451,0.10831234256926953,0.702771,1.0,0.038,0.704,0.42,0.5965909090909091,0.2869318181818182,0.11647727272727272,0.630682,0.818182,0.018
skywork_prm,math500,Skywork-7B,MATH-500,500,0.652,0.434,0.6656441717791411,0.24846625766871167,0.08588957055214724,0.496933,1.0,0.016,0.636,0.418,0.6572327044025157,0.27672955974842767,0.0660377358490566,0.515723,0.849057,0.01
skywork_prm_1_5b,math500,Skywork-1.5B,MATH-500,500,0.652,0.446,0.6840490797546013,0.2392638036809816,0.07668711656441718,0.5,1.0,0.012,0.622,0.412,0.662379421221865,0.24758842443729903,0.09003215434083602,0.569132,0.826367,0.01
