prm,benchmark,n,flip_prod,flip_gm,flip_off,gain_prod,gain_gm,gain_off,stab_winner,util_winner,official_rule
Math-Shepherd,GSM8K,286,0.1329,0.0350,0.0315,0.0420,0.0420,0.0420,Off,Prod=GM=Off,min_step
Math-Shepherd,MATH-500,212,0.3632,0.1226,0.1038,0.0708,0.0708,0.0708,Off,Prod=GM=Off,min_step
Skywork-7B,GSM8K,296,0.3851,0.1014,0.1115,0.0709,0.0709,0.0709,GM,Prod=GM=Off,arith_mean
Skywork-7B,MATH-500,206,0.3447,0.1117,0.1165,0.1068,0.1068,0.1068,GM,Prod=GM=Off,arith_mean
Skywork-1.5B,GSM8K,282,0.3759,0.1170,0.1277,0.0674,0.0674,0.0674,GM,Prod=GM=Off,arith_mean
Skywork-1.5B,MATH-500,188,0.4468,0.1383,0.1383,0.0798,0.0798,0.0798,GM=Off,Prod=GM=Off,arith_mean
Qwen,GSM8K,391,0.0409,0.0205,0.0409,0.0691,0.0691,0.0691,GM,Prod=GM=Off,product
Qwen,MATH-500,301,0.0731,0.0365,0.0731,0.1429,0.1429,0.1429,GM,Prod=GM=Off,product
RLHFlow,GSM8K,369,0.0434,0.0108,0.0108,0.0461,0.0461,0.0461,GM=Off,Prod=GM=Off,arith_mean
RLHFlow,MATH-500,253,0.2332,0.0672,0.0672,0.1028,0.1028,0.1028,GM=Off,Prod=GM=Off,arith_mean
InternLM2-7B,GSM8K,279,0.4050,0.0824,0.0179,0.0502,0.0502,0.0502,Off,Prod=GM=Off,last_step
InternLM2-7B,MATH-500,196,0.5204,0.1531,0.1071,0.0612,0.0612,0.0612,Off,Prod=GM=Off,last_step
InternLM2-1.8B,GSM8K,244,0.6967,0.0943,0.0205,0.0369,0.0369,0.0369,Off,Prod=GM=Off,last_step
InternLM2-1.8B,MATH-500,165,0.8061,0.2545,0.1939,0.0424,0.0424,0.0424,Off,Prod=GM=Off,last_step
