prm,benchmark,n_eligible,apr_necessary,apr_inert,delta_ni_within,ci_lo,ci_hi,mean_abs_clean_logprod_diff,max_abs_clean_logprod_diff,mean_abs_clean_gm_diff,max_abs_clean_gm_diff,source_scope
internlm2_1_8b_reward,gsm8k,148,0.6216216216216216,0.9324324324324325,-0.3108108108108108,-0.3918918918918919,-0.22972972972972974,0.0,0.0,0.0,0.0,matched_control_multiseed_union_rescored
internlm2_7b_reward,gsm8k,148,0.42567567567567566,0.918918918918919,-0.49324324324324326,-0.5878378378378378,-0.40540540540540543,0.0,0.0,0.0,0.0,matched_control_multiseed_union_rescored
math_shepherd,gsm8k,148,0.30405405405405406,0.7837837837837838,-0.4797297297297297,-0.5743243243243243,-0.38513513513513514,0.0,0.0,0.0,0.0,matched_control_multiseed_union_rescored
qwen_prm,gsm8k,148,0.07432432432432433,0.38513513513513514,-0.3108108108108108,-0.39864864864864863,-0.22297297297297297,0.0,0.0,0.0,0.0,matched_control_multiseed_union_rescored
rlhflow_prm,gsm8k,148,0.0945945945945946,0.2905405405405405,-0.19594594594594594,-0.2702702702702703,-0.11486486486486487,0.0,0.0,0.0,0.0,matched_control_multiseed_union_rescored
skywork_prm,gsm8k,148,0.36486486486486486,0.7567567567567568,-0.3918918918918919,-0.4864864864864865,-0.27702702702702703,0.0,0.0,0.0,0.0,matched_control_multiseed_union_rescored
skywork_prm_1_5b,gsm8k,148,0.43243243243243246,0.8040540540540541,-0.3716216216216216,-0.47297297297297297,-0.2702702702702703,0.0,0.0,0.0,0.0,matched_control_multiseed_union_rescored
internlm2_1_8b_reward,math500,122,0.7704918032786885,0.9098360655737705,-0.13934426229508196,-0.22950819672131148,-0.05737704918032787,0.0,0.0,0.0,0.0,matched_control_multiseed_union_rescored
internlm2_7b_reward,math500,122,0.5081967213114754,0.8278688524590164,-0.319672131147541,-0.4262295081967213,-0.20491803278688525,0.0,0.0,0.0,0.0,matched_control_multiseed_union_rescored
math_shepherd,math500,122,0.36885245901639346,0.7704918032786885,-0.4016393442622951,-0.5,-0.30327868852459017,0.0,0.0,0.0,0.0,matched_control_multiseed_union_rescored
qwen_prm,math500,122,0.10655737704918032,0.3524590163934426,-0.2459016393442623,-0.3524590163934426,-0.1557377049180328,0.0,0.0,0.0,0.0,matched_control_multiseed_union_rescored
rlhflow_prm,math500,122,0.2459016393442623,0.36885245901639346,-0.12295081967213115,-0.22950819672131148,-0.01639344262295082,0.0,0.0,0.0,0.0,matched_control_multiseed_union_rescored
skywork_prm,math500,122,0.39344262295081966,0.7213114754098361,-0.32786885245901637,-0.4426229508196721,-0.20491803278688525,0.0,0.0,0.0,0.0,matched_control_multiseed_union_rescored
skywork_prm_1_5b,math500,122,0.38524590163934425,0.8032786885245902,-0.4180327868852459,-0.5081967213114754,-0.32786885245901637,0.0,0.0,0.0,0.0,matched_control_multiseed_union_rescored
