checkpoint,benchmark,rule,n_elig,pct_pool_has_wrong,n_flip,pct_to_attacked,pct_to_other_correct,pct_to_incorrect,n_to_attacked,n_to_other_correct,n_to_incorrect
Math-Shepherd,GSM8K,product,425,0.237647,39,1.000000,0.000000,0.000000,39,0,0
Math-Shepherd,MATH-500,product,342,0.403509,82,1.000000,0.000000,0.000000,82,0,0
Skywork-7B,GSM8K,product,435,0.255172,114,1.000000,0.000000,0.000000,114,0,0
Skywork-7B,MATH-500,product,357,0.428571,73,1.000000,0.000000,0.000000,73,0,0
Skywork-1.5B,GSM8K,product,426,0.239437,106,1.000000,0.000000,0.000000,106,0,0
Skywork-1.5B,MATH-500,product,345,0.408696,86,1.000000,0.000000,0.000000,86,0,0
Qwen,GSM8K,product,447,0.275168,16,1.000000,0.000000,0.000000,16,0,0
Qwen,MATH-500,product,372,0.451613,23,1.000000,0.000000,0.000000,23,0,0
RLHFlow,GSM8K,product,426,0.239437,17,1.000000,0.000000,0.000000,17,0,0
RLHFlow,MATH-500,product,346,0.410405,67,1.000000,0.000000,0.000000,67,0,0
InternLM2-7B,GSM8K,product,414,0.217391,117,1.000000,0.000000,0.000000,117,0,0
InternLM2-7B,MATH-500,product,343,0.405248,113,1.000000,0.000000,0.000000,113,0,0
InternLM2-1.8B,GSM8K,product,414,0.217391,183,1.000000,0.000000,0.000000,183,0,0
InternLM2-1.8B,MATH-500,product,339,0.398230,149,1.000000,0.000000,0.000000,149,0,0
